date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,92,303
2022-02-27,102,405
2022-02-28,73,478
2022-03-01,41,519
2022-03-02,55,574
2022-03-03,91,665
2022-03-04,71,736
2022-03-05,96,832
2022-03-06,135,967
2022-03-07,91,1058
2022-03-08,92,1150
2022-03-09,65,1215
2022-03-10,51,1266
2022-03-11,67,1333
2022-03-12,102,1435
2022-03-13,69,1504
2022-03-14,79,1583
2022-03-15,60,1643
2022-03-16,56,1699
2022-03-17,30,1729
2022-03-18,46,1775
2022-03-19,35,1810
2022-03-20,38,1848
2022-03-21,55,1903
2022-03-22,33,1936
2022-03-23,52,1988
2022-03-24,67,2055
2022-03-25,73,2128
2022-03-26,49,2177
2022-03-27,34,2211
2022-03-28,49,2260
2022-03-29,63,2323
2022-03-30,59,2382
2022-03-31,44,2426
2022-04-01,57,2483
2022-04-02,32,2515
2022-04-03,15,2530
2022-04-04,21,2551
2022-04-05,33,2584
2022-04-06,22,2606
2022-04-07,15,2621
2022-04-08,14,2635
2022-04-09,26,2661
2022-04-10,26,2687
2022-04-11,25,2712
2022-04-12,24,2736
2022-04-13,56,2792
2022-04-14,36,2828
2022-04-15,25,2853
2022-04-16,29,2882
2022-04-17,25,2907
2022-04-18,41,2948
2022-04-19,38,2986
2022-04-20,30,3016
2022-04-21,56,3072
2022-04-22,72,3144
2022-04-23,46,3190
2022-04-24,31,3221
2022-04-25,64,3285
2022-04-26,26,3311
2022-04-27,46,3357
2022-04-28,42,3399
2022-04-29,23,3422
2022-04-30,42,3464
2022-05-01,33,3497
2022-05-02,39,3536
2022-05-03,46,3582
2022-05-04,32,3614
2022-05-05,46,3660
2022-05-06,65,3725
2022-05-07,44,3769
2022-05-08,50,3819
2022-05-09,33,3852
2022-05-10,41,3893
2022-05-11,42,3935
2022-05-12,31,3966
2022-05-13,26,3992
2022-05-14,32,4024
2022-05-15,31,4055
2022-05-16,27,4082
2022-05-17,38,4120
2022-05-18,21,4141
2022-05-19,76,4217
2022-05-20,52,4269
2022-05-21,48,4317
2022-05-22,45,4362
2022-05-23,58,4420
2022-05-24,40,4460
2022-05-25,30,4490
2022-05-26,47,4537
2022-05-27,37,4574
2022-05-28,43,4617
2022-05-29,47,4664
2022-05-30,30,4694
2022-05-31,31,4725
2022-06-01,42,4767
2022-06-02,25,4792
2022-06-03,36,4828
2022-06-04,27,4855
2022-06-05,47,4902
2022-06-06,28,4930
