date,change,total
2022-02-24,113,113
2022-02-25,107,220
2022-02-26,96,316
2022-02-27,107,423
2022-02-28,74,497
2022-03-01,43,540
2022-03-02,54,594
2022-03-03,97,691
2022-03-04,74,765
2022-03-05,100,865
2022-03-06,141,1006
2022-03-07,99,1105
2022-03-08,94,1199
2022-03-09,66,1265
2022-03-10,53,1318
2022-03-11,69,1387
2022-03-12,105,1492
2022-03-13,74,1566
2022-03-14,81,1647
2022-03-15,62,1709
2022-03-16,63,1772
2022-03-17,34,1806
2022-03-18,48,1854
2022-03-19,34,1888
2022-03-20,41,1929
2022-03-21,54,1983
2022-03-22,35,2018
2022-03-23,56,2074
2022-03-24,69,2143
2022-03-25,79,2222
2022-03-26,57,2279
2022-03-27,37,2316
2022-03-28,50,2366
2022-03-29,61,2427
2022-03-30,70,2497
2022-03-31,43,2540
2022-04-01,67,2607
2022-04-02,32,2639
2022-04-03,15,2654
2022-04-04,22,2676
2022-04-05,37,2713
2022-04-06,26,2739
2022-04-07,17,2756
2022-04-08,18,2774
2022-04-09,28,2802
2022-04-10,30,2832
2022-04-11,26,2858
2022-04-12,28,2886
2022-04-13,57,2943
2022-04-14,44,2987
2022-04-15,28,3015
2022-04-16,30,3045
2022-04-17,23,3068
2022-04-18,44,3112
2022-04-19,39,3151
2022-04-20,34,3185
2022-04-21,57,3242
2022-04-22,74,3316
2022-04-23,51,3367
2022-04-24,33,3400
2022-04-25,65,3465
2022-04-26,28,3493
2022-04-27,47,3540
2022-04-28,43,3583
2022-04-29,23,3606
2022-04-30,44,3650
2022-05-01,35,3685
2022-05-02,43,3728
2022-05-03,46,3774
2022-05-04,31,3805
2022-05-05,49,3854
2022-05-06,74,3928
2022-05-07,47,3975
2022-05-08,51,4026
2022-05-09,35,4061
2022-05-10,45,4106
2022-05-11,44,4150
2022-05-12,34,4184
2022-05-13,29,4213
2022-05-14,34,4247
2022-05-15,33,4280
2022-05-16,29,4309
2022-05-17,40,4349
2022-05-18,24,4373
2022-05-19,80,4453
2022-05-20,53,4506
2022-05-21,49,4555
2022-05-22,45,4600
2022-05-23,62,4662
2022-05-24,41,4703
2022-05-25,37,4740
2022-05-26,46,4786
2022-05-27,38,4824
2022-05-28,49,4873
2022-05-29,49,4922
2022-05-30,33,4955
2022-05-31,32,4987
2022-06-01,47,5034
2022-06-02,28,5062
2022-06-03,39,5101
2022-06-04,29,5130
2022-06-05,47,5177
2022-06-06,33,5210
2022-06-07,34,5244
2022-06-08,28,5272
2022-06-09,43,5315
2022-06-10,24,5339
2022-06-11,26,5365
2022-06-12,25,5390
2022-06-13,27,5417
2022-06-14,39,5456
2022-06-15,15,5471
2022-06-16,29,5500
2022-06-17,41,5541
2022-06-18,23,5564
2022-06-19,32,5596
2022-06-20,38,5634
2022-06-21,47,5681
2022-06-22,35,5716
2022-06-23,32,5748
2022-06-24,44,5792
2022-06-25,33,5825
2022-06-26,56,5881
2022-06-27,48,5929
2022-06-28,27,5956
2022-06-29,36,5992
2022-06-30,45,6037
2022-07-01,16,6053
2022-07-02,42,6095
2022-07-03,46,6141
2022-07-04,47,6188
2022-07-05,31,6219
2022-07-06,33,6252
2022-07-07,47,6299
2022-07-08,53,6352
2022-07-09,50,6402
2022-07-10,26,6428
2022-07-11,18,6446
2022-07-12,22,6468
2022-07-13,33,6501
2022-07-14,23,6524
2022-07-15,21,6545
2022-07-16,34,6579
2022-07-17,32,6611
2022-07-18,29,6640
2022-07-19,55,6695
2022-07-20,48,6743
2022-07-21,24,6767
2022-07-22,50,6817
2022-07-23,29,6846
2022-07-24,15,6861
2022-07-25,26,6887
2022-07-26,7,6894
2022-07-27,21,6915
2022-07-28,10,6925
2022-07-29,19,6944
2022-07-30,26,6970
2022-07-31,12,6982
2022-08-01,20,7002
2022-08-02,13,7015
2022-08-03,13,7028
2022-08-04,43,7071
2022-08-05,19,7090
2022-08-06,31,7121
2022-08-07,23,7144
2022-08-08,25,7169
2022-08-09,14,7183
2022-08-10,27,7210
2022-08-11,17,7227
2022-08-12,29,7256
2022-08-13,32,7288
2022-08-14,39,7327
2022-08-15,31,7358
2022-08-16,52,7410
2022-08-17,34,7444
2022-08-18,22,7466
2022-08-19,22,7488
2022-08-20,25,7513
2022-08-21,34,7547
2022-08-22,20,7567
2022-08-23,37,7604
2022-08-24,32,7636
2022-08-25,19,7655
2022-08-26,20,7675
2022-08-27,34,7709
2022-08-28,31,7740
2022-08-29,100,7840
2022-08-30,37,7877
2022-08-31,51,7928
2022-09-01,47,7975
2022-09-02,53,8028
2022-09-03,43,8071
2022-09-04,59,8130
2022-09-05,41,8171
2022-09-06,62,8233
2022-09-07,85,8318
2022-09-08,66,8384
2022-09-09,54,8438
2022-09-10,54,8492
2022-09-11,51,8543
2022-09-12,59,8602
