date,change,total
2022-02-24,113,113
2022-02-25,106,219
2022-02-26,93,312
2022-02-27,107,419
2022-02-28,75,494
2022-03-01,43,537
2022-03-02,55,592
2022-03-03,93,685
2022-03-04,73,758
2022-03-05,98,856
2022-03-06,138,994
2022-03-07,99,1093
2022-03-08,94,1187
2022-03-09,66,1253
2022-03-10,52,1305
2022-03-11,70,1375
2022-03-12,103,1478
2022-03-13,70,1548
2022-03-14,81,1629
2022-03-15,63,1692
2022-03-16,61,1753
2022-03-17,34,1787
2022-03-18,46,1833
2022-03-19,34,1867
2022-03-20,42,1909
2022-03-21,56,1965
2022-03-22,34,1999
2022-03-23,56,2055
2022-03-24,68,2123
2022-03-25,76,2199
2022-03-26,55,2254
2022-03-27,35,2289
2022-03-28,51,2340
2022-03-29,62,2402
2022-03-30,68,2470
2022-03-31,43,2513
2022-04-01,63,2576
2022-04-02,31,2607
2022-04-03,15,2622
2022-04-04,22,2644
2022-04-05,35,2679
2022-04-06,26,2705
2022-04-07,17,2722
2022-04-08,17,2739
2022-04-09,28,2767
2022-04-10,28,2795
2022-04-11,26,2821
2022-04-12,27,2848
2022-04-13,58,2906
2022-04-14,44,2950
2022-04-15,27,2977
2022-04-16,30,3007
2022-04-17,24,3031
2022-04-18,44,3075
2022-04-19,41,3116
2022-04-20,34,3150
2022-04-21,57,3207
2022-04-22,72,3279
2022-04-23,48,3327
2022-04-24,33,3360
2022-04-25,66,3426
2022-04-26,27,3453
2022-04-27,47,3500
2022-04-28,42,3542
2022-04-29,23,3565
2022-04-30,43,3608
2022-05-01,34,3642
2022-05-02,42,3684
2022-05-03,46,3730
2022-05-04,32,3762
2022-05-05,46,3808
2022-05-06,73,3881
2022-05-07,47,3928
2022-05-08,51,3979
2022-05-09,34,4013
2022-05-10,43,4056
2022-05-11,43,4099
2022-05-12,36,4135
2022-05-13,28,4163
2022-05-14,33,4196
2022-05-15,33,4229
2022-05-16,28,4257
2022-05-17,38,4295
2022-05-18,24,4319
2022-05-19,77,4396
2022-05-20,53,4449
2022-05-21,48,4497
2022-05-22,45,4542
2022-05-23,60,4602
2022-05-24,40,4642
2022-05-25,34,4676
2022-05-26,46,4722
2022-05-27,37,4759
2022-05-28,48,4807
2022-05-29,50,4857
2022-05-30,33,4890
2022-05-31,31,4921
2022-06-01,47,4968
2022-06-02,27,4995
2022-06-03,37,5032
2022-06-04,28,5060
2022-06-05,47,5107
2022-06-06,31,5138
2022-06-07,33,5171
2022-06-08,29,5200
2022-06-09,41,5241
2022-06-10,22,5263
2022-06-11,25,5288
2022-06-12,25,5313
2022-06-13,27,5340
2022-06-14,39,5379
2022-06-15,14,5393
2022-06-16,29,5422
2022-06-17,40,5462
2022-06-18,18,5480
2022-06-19,31,5511
2022-06-20,38,5549
2022-06-21,47,5596
2022-06-22,35,5631
2022-06-23,29,5660
2022-06-24,39,5699
2022-06-25,33,5732
2022-06-26,56,5788
2022-06-27,47,5835
2022-06-28,27,5862
2022-06-29,34,5896
2022-06-30,44,5940
2022-07-01,14,5954
2022-07-02,42,5996
2022-07-03,44,6040
2022-07-04,48,6088
2022-07-05,32,6120
2022-07-06,32,6152
2022-07-07,47,6199
2022-07-08,51,6250
2022-07-09,51,6301
2022-07-10,24,6325
2022-07-11,17,6342
2022-07-12,22,6364
2022-07-13,32,6396
2022-07-14,22,6418
2022-07-15,21,6439
2022-07-16,33,6472
2022-07-17,31,6503
2022-07-18,28,6531
2022-07-19,52,6583
2022-07-20,46,6629
2022-07-21,24,6653
2022-07-22,49,6702
2022-07-23,28,6730
2022-07-24,15,6745
2022-07-25,26,6771
2022-07-26,6,6777
2022-07-27,20,6797
2022-07-28,9,6806
2022-07-29,19,6825
2022-07-30,26,6851
2022-07-31,11,6862
2022-08-01,19,6881
2022-08-02,13,6894
2022-08-03,13,6907
2022-08-04,44,6951
2022-08-05,18,6969
2022-08-06,31,7000
2022-08-07,23,7023
2022-08-08,24,7047
2022-08-09,14,7061
2022-08-10,27,7088
2022-08-11,17,7105
2022-08-12,27,7132
2022-08-13,32,7164
2022-08-14,33,7197
2022-08-15,32,7229
2022-08-16,49,7278
2022-08-17,32,7310
2022-08-18,21,7331
2022-08-19,22,7353
2022-08-20,26,7379
2022-08-21,34,7413
2022-08-22,19,7432
2022-08-23,36,7468
2022-08-24,31,7499
2022-08-25,20,7519
2022-08-26,20,7539
2022-08-27,34,7573
2022-08-28,32,7605
2022-08-29,97,7702
2022-08-30,34,7736
2022-08-31,49,7785
2022-09-01,47,7832
2022-09-02,53,7885
2022-09-03,42,7927
2022-09-04,57,7984
2022-09-05,40,8024
2022-09-06,60,8084
2022-09-07,83,8167
2022-09-08,63,8230
2022-09-09,49,8279
2022-09-10,50,8329
2022-09-11,49,8378
2022-09-12,59,8437
2022-09-13,51,8488
2022-09-14,40,8528
2022-09-15,31,8559
2022-09-16,51,8610
2022-09-17,61,8671
2022-09-18,31,8702
2022-09-19,44,8746
2022-09-20,56,8802
2022-09-21,47,8849
2022-09-22,78,8927
2022-09-23,36,8963
2022-09-24,87,9050
2022-09-25,92,9142
2022-09-26,84,9226
2022-09-27,54,9280
2022-09-28,74,9354
2022-09-29,64,9418
2022-09-30,95,9513
2022-10-01,93,9606
2022-10-02,52,9658
2022-10-03,60,9718
2022-10-04,93,9811
