date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,101,402
2022-02-28,71,473
2022-03-01,40,513
2022-03-02,54,567
2022-03-03,89,656
2022-03-04,71,727
2022-03-05,95,822
2022-03-06,135,957
2022-03-07,87,1044
2022-03-08,91,1135
2022-03-09,64,1199
2022-03-10,51,1250
2022-03-11,66,1316
2022-03-12,102,1418
2022-03-13,70,1488
2022-03-14,79,1567
2022-03-15,58,1625
2022-03-16,54,1679
2022-03-17,29,1708
2022-03-18,44,1752
2022-03-19,33,1785
2022-03-20,38,1823
2022-03-21,53,1876
2022-03-22,29,1905
2022-03-23,52,1957
2022-03-24,66,2023
2022-03-25,71,2094
2022-03-26,50,2144
2022-03-27,32,2176
2022-03-28,47,2223
2022-03-29,59,2282
2022-03-30,58,2340
2022-03-31,45,2385
2022-04-01,55,2440
2022-04-02,31,2471
2022-04-03,15,2486
2022-04-04,20,2506
2022-04-05,31,2537
2022-04-06,21,2558
2022-04-07,14,2572
2022-04-08,13,2585
2022-04-09,25,2610
2022-04-10,26,2636
2022-04-11,20,2656
2022-04-12,24,2680
2022-04-13,56,2736
2022-04-14,35,2771
2022-04-15,25,2796
2022-04-16,29,2825
2022-04-17,24,2849
2022-04-18,38,2887
2022-04-19,38,2925
2022-04-20,30,2955
2022-04-21,55,3010
2022-04-22,69,3079
2022-04-23,43,3122
2022-04-24,31,3153
2022-04-25,60,3213
2022-04-26,27,3240
2022-04-27,45,3285
2022-04-28,42,3327
2022-04-29,22,3349
2022-04-30,40,3389
2022-05-01,32,3421
2022-05-02,39,3460
2022-05-03,46,3506
2022-05-04,32,3538
2022-05-05,44,3582
2022-05-06,63,3645
2022-05-07,43,3688
2022-05-08,48,3736
2022-05-09,32,3768
2022-05-10,37,3805
2022-05-11,41,3846
2022-05-12,29,3875
2022-05-13,26,3901
2022-05-14,31,3932
2022-05-15,30,3962
2022-05-16,27,3989
2022-05-17,38,4027
2022-05-18,21,4048
2022-05-19,76,4124
2022-05-20,51,4175
2022-05-21,48,4223
2022-05-22,44,4267
2022-05-23,57,4324
2022-05-24,40,4364
2022-05-25,30,4394
2022-05-26,46,4440
2022-05-27,38,4478
2022-05-28,41,4519
2022-05-29,47,4566
2022-05-30,29,4595
2022-05-31,30,4625
2022-06-01,42,4667
2022-06-02,24,4691
2022-06-03,36,4727
2022-06-04,25,4752
2022-06-05,44,4796
2022-06-06,26,4822
