date,change,total
2022-02-24,111,111
2022-02-25,101,212
2022-02-26,92,304
2022-02-27,102,406
2022-02-28,73,479
2022-03-01,41,520
2022-03-02,56,576
2022-03-03,91,667
2022-03-04,71,738
2022-03-05,96,834
2022-03-06,136,970
2022-03-07,91,1061
2022-03-08,92,1153
2022-03-09,65,1218
2022-03-10,51,1269
2022-03-11,67,1336
2022-03-12,102,1438
2022-03-13,69,1507
2022-03-14,80,1587
2022-03-15,61,1648
2022-03-16,56,1704
2022-03-17,30,1734
2022-03-18,46,1780
2022-03-19,34,1814
2022-03-20,39,1853
2022-03-21,55,1908
2022-03-22,33,1941
2022-03-23,52,1993
2022-03-24,67,2060
2022-03-25,73,2133
2022-03-26,49,2182
2022-03-27,35,2217
2022-03-28,50,2267
2022-03-29,63,2330
2022-03-30,59,2389
2022-03-31,44,2433
2022-04-01,58,2491
2022-04-02,32,2523
2022-04-03,15,2538
2022-04-04,21,2559
2022-04-05,34,2593
2022-04-06,23,2616
2022-04-07,15,2631
2022-04-08,14,2645
2022-04-09,26,2671
2022-04-10,26,2697
2022-04-11,25,2722
2022-04-12,24,2746
2022-04-13,56,2802
2022-04-14,36,2838
2022-04-15,25,2863
2022-04-16,29,2892
2022-04-17,25,2917
2022-04-18,43,2960
2022-04-19,38,2998
2022-04-20,30,3028
2022-04-21,57,3085
2022-04-22,73,3158
2022-04-23,47,3205
2022-04-24,31,3236
2022-04-25,64,3300
2022-04-26,26,3326
2022-04-27,46,3372
2022-04-28,42,3414
2022-04-29,24,3438
2022-04-30,42,3480
2022-05-01,33,3513
2022-05-02,39,3552
2022-05-03,46,3598
2022-05-04,32,3630
2022-05-05,46,3676
2022-05-06,67,3743
2022-05-07,45,3788
2022-05-08,51,3839
2022-05-09,33,3872
2022-05-10,41,3913
2022-05-11,43,3956
2022-05-12,31,3987
2022-05-13,27,4014
2022-05-14,32,4046
2022-05-15,32,4078
2022-05-16,28,4106
2022-05-17,38,4144
2022-05-18,21,4165
2022-05-19,76,4241
2022-05-20,52,4293
2022-05-21,48,4341
2022-05-22,45,4386
2022-05-23,60,4446
2022-05-24,40,4486
2022-05-25,31,4517
2022-05-26,47,4564
2022-05-27,37,4601
2022-05-28,43,4644
2022-05-29,47,4691
2022-05-30,31,4722
2022-05-31,31,4753
2022-06-01,43,4796
2022-06-02,26,4822
2022-06-03,36,4858
2022-06-04,26,4884
2022-06-05,47,4931
2022-06-06,29,4960
2022-06-07,34,4994
2022-06-08,29,5023
2022-06-09,39,5062
2022-06-10,22,5084
2022-06-11,25,5109
2022-06-12,26,5135
2022-06-13,26,5161
2022-06-14,38,5199
2022-06-15,14,5213
2022-06-16,26,5239
2022-06-17,40,5279
2022-06-18,15,5294
2022-06-19,28,5322
2022-06-20,32,5354
2022-06-21,43,5397
2022-06-22,34,5431
2022-06-23,28,5459
2022-06-24,38,5497
2022-06-25,30,5527
2022-06-26,53,5580
2022-06-27,47,5627
2022-06-28,24,5651
2022-06-29,33,5684
2022-06-30,41,5725
2022-07-01,15,5740
2022-07-02,40,5780
2022-07-03,44,5824
2022-07-04,45,5869
2022-07-05,33,5902
2022-07-06,32,5934
2022-07-07,45,5979
2022-07-08,49,6028
2022-07-09,52,6080
2022-07-10,24,6104
2022-07-11,17,6121
2022-07-12,19,6140
2022-07-13,32,6172
2022-07-14,19,6191
2022-07-15,20,6211
2022-07-16,31,6242
2022-07-17,28,6270
2022-07-18,25,6295
2022-07-19,52,6347
2022-07-20,44,6391
2022-07-21,23,6414
2022-07-22,48,6462
2022-07-23,26,6488
2022-07-24,15,6503
2022-07-25,21,6524
2022-07-26,6,6530
2022-07-27,19,6549
2022-07-28,9,6558
2022-07-29,16,6574
2022-07-30,25,6599
2022-07-31,11,6610
2022-08-01,18,6628
2022-08-02,14,6642
2022-08-03,11,6653
2022-08-04,44,6697
2022-08-05,15,6712
2022-08-06,29,6741
2022-08-07,22,6763
2022-08-08,23,6786
2022-08-09,13,6799
2022-08-10,28,6827
2022-08-11,16,6843
2022-08-12,27,6870
2022-08-13,30,6900
2022-08-14,31,6931
2022-08-15,31,6962
2022-08-16,44,7006
2022-08-17,32,7038
2022-08-18,18,7056
2022-08-19,19,7075
