date,change,total
2022-02-24,111,111
2022-02-25,104,215
2022-02-26,93,308
2022-02-27,105,413
2022-02-28,75,488
2022-03-01,42,530
2022-03-02,55,585
2022-03-03,92,677
2022-03-04,72,749
2022-03-05,98,847
2022-03-06,137,984
2022-03-07,95,1079
2022-03-08,94,1173
2022-03-09,66,1239
2022-03-10,51,1290
2022-03-11,69,1359
2022-03-12,103,1462
2022-03-13,69,1531
2022-03-14,80,1611
2022-03-15,64,1675
2022-03-16,59,1734
2022-03-17,34,1768
2022-03-18,46,1814
2022-03-19,34,1848
2022-03-20,42,1890
2022-03-21,56,1946
2022-03-22,34,1980
2022-03-23,55,2035
2022-03-24,67,2102
2022-03-25,76,2178
2022-03-26,53,2231
2022-03-27,35,2266
2022-03-28,51,2317
2022-03-29,62,2379
2022-03-30,67,2446
2022-03-31,43,2489
2022-04-01,61,2550
2022-04-02,31,2581
2022-04-03,15,2596
2022-04-04,21,2617
2022-04-05,34,2651
2022-04-06,26,2677
2022-04-07,16,2693
2022-04-08,17,2710
2022-04-09,27,2737
2022-04-10,27,2764
2022-04-11,28,2792
2022-04-12,27,2819
2022-04-13,57,2876
2022-04-14,41,2917
2022-04-15,26,2943
2022-04-16,29,2972
2022-04-17,24,2996
2022-04-18,44,3040
2022-04-19,40,3080
2022-04-20,33,3113
2022-04-21,57,3170
2022-04-22,72,3242
2022-04-23,48,3290
2022-04-24,31,3321
2022-04-25,65,3386
2022-04-26,27,3413
2022-04-27,47,3460
2022-04-28,42,3502
2022-04-29,23,3525
2022-04-30,44,3569
2022-05-01,34,3603
2022-05-02,39,3642
2022-05-03,46,3688
2022-05-04,32,3720
2022-05-05,46,3766
2022-05-06,68,3834
2022-05-07,49,3883
2022-05-08,51,3934
2022-05-09,34,3968
2022-05-10,42,4010
2022-05-11,42,4052
2022-05-12,34,4086
2022-05-13,28,4114
2022-05-14,32,4146
2022-05-15,33,4179
2022-05-16,28,4207
2022-05-17,38,4245
2022-05-18,23,4268
2022-05-19,76,4344
2022-05-20,52,4396
2022-05-21,48,4444
2022-05-22,46,4490
2022-05-23,60,4550
2022-05-24,40,4590
2022-05-25,33,4623
2022-05-26,47,4670
2022-05-27,37,4707
2022-05-28,48,4755
2022-05-29,50,4805
2022-05-30,32,4837
2022-05-31,30,4867
2022-06-01,46,4913
2022-06-02,26,4939
2022-06-03,36,4975
2022-06-04,28,5003
2022-06-05,47,5050
2022-06-06,31,5081
2022-06-07,34,5115
2022-06-08,30,5145
2022-06-09,41,5186
2022-06-10,22,5208
2022-06-11,25,5233
2022-06-12,25,5258
2022-06-13,27,5285
2022-06-14,39,5324
2022-06-15,14,5338
2022-06-16,28,5366
2022-06-17,39,5405
2022-06-18,17,5422
2022-06-19,30,5452
2022-06-20,36,5488
2022-06-21,47,5535
2022-06-22,34,5569
2022-06-23,29,5598
2022-06-24,39,5637
2022-06-25,31,5668
2022-06-26,55,5723
2022-06-27,47,5770
2022-06-28,27,5797
2022-06-29,33,5830
2022-06-30,44,5874
2022-07-01,15,5889
2022-07-02,41,5930
2022-07-03,44,5974
2022-07-04,47,6021
