date,change,total
2022-02-24,113,113
2022-02-25,106,219
2022-02-26,93,312
2022-02-27,107,419
2022-02-28,75,494
2022-03-01,43,537
2022-03-02,55,592
2022-03-03,94,686
2022-03-04,73,759
2022-03-05,98,857
2022-03-06,139,996
2022-03-07,99,1095
2022-03-08,94,1189
2022-03-09,66,1255
2022-03-10,52,1307
2022-03-11,70,1377
2022-03-12,103,1480
2022-03-13,71,1551
2022-03-14,81,1632
2022-03-15,62,1694
2022-03-16,62,1756
2022-03-17,34,1790
2022-03-18,48,1838
2022-03-19,34,1872
2022-03-20,42,1914
2022-03-21,56,1970
2022-03-22,34,2004
2022-03-23,56,2060
2022-03-24,69,2129
2022-03-25,77,2206
2022-03-26,55,2261
2022-03-27,35,2296
2022-03-28,51,2347
2022-03-29,62,2409
2022-03-30,68,2477
2022-03-31,43,2520
2022-04-01,63,2583
2022-04-02,31,2614
2022-04-03,15,2629
2022-04-04,22,2651
2022-04-05,35,2686
2022-04-06,26,2712
2022-04-07,17,2729
2022-04-08,17,2746
2022-04-09,28,2774
2022-04-10,29,2803
2022-04-11,26,2829
2022-04-12,27,2856
2022-04-13,57,2913
2022-04-14,44,2957
2022-04-15,27,2984
2022-04-16,30,3014
2022-04-17,24,3038
2022-04-18,44,3082
2022-04-19,41,3123
2022-04-20,34,3157
2022-04-21,57,3214
2022-04-22,72,3286
2022-04-23,50,3336
2022-04-24,33,3369
2022-04-25,66,3435
2022-04-26,27,3462
2022-04-27,47,3509
2022-04-28,43,3552
2022-04-29,23,3575
2022-04-30,43,3618
2022-05-01,34,3652
2022-05-02,43,3695
2022-05-03,46,3741
2022-05-04,32,3773
2022-05-05,46,3819
2022-05-06,73,3892
2022-05-07,47,3939
2022-05-08,50,3989
2022-05-09,34,4023
2022-05-10,43,4066
2022-05-11,43,4109
2022-05-12,36,4145
2022-05-13,28,4173
2022-05-14,33,4206
2022-05-15,33,4239
2022-05-16,28,4267
2022-05-17,38,4305
2022-05-18,24,4329
2022-05-19,77,4406
2022-05-20,52,4458
2022-05-21,48,4506
2022-05-22,45,4551
2022-05-23,60,4611
2022-05-24,41,4652
2022-05-25,34,4686
2022-05-26,46,4732
2022-05-27,37,4769
2022-05-28,48,4817
2022-05-29,50,4867
2022-05-30,33,4900
2022-05-31,32,4932
2022-06-01,47,4979
2022-06-02,27,5006
2022-06-03,37,5043
2022-06-04,28,5071
2022-06-05,47,5118
2022-06-06,31,5149
2022-06-07,33,5182
2022-06-08,29,5211
2022-06-09,41,5252
2022-06-10,22,5274
2022-06-11,25,5299
2022-06-12,25,5324
2022-06-13,27,5351
2022-06-14,39,5390
2022-06-15,15,5405
2022-06-16,29,5434
2022-06-17,40,5474
2022-06-18,19,5493
2022-06-19,31,5524
2022-06-20,38,5562
2022-06-21,47,5609
2022-06-22,35,5644
2022-06-23,30,5674
2022-06-24,41,5715
2022-06-25,34,5749
2022-06-26,56,5805
2022-06-27,47,5852
2022-06-28,27,5879
2022-06-29,34,5913
2022-06-30,44,5957
2022-07-01,14,5971
2022-07-02,42,6013
2022-07-03,44,6057
2022-07-04,48,6105
2022-07-05,32,6137
2022-07-06,32,6169
2022-07-07,47,6216
2022-07-08,51,6267
2022-07-09,51,6318
2022-07-10,24,6342
2022-07-11,17,6359
2022-07-12,22,6381
2022-07-13,32,6413
2022-07-14,22,6435
2022-07-15,21,6456
2022-07-16,33,6489
2022-07-17,32,6521
2022-07-18,28,6549
2022-07-19,53,6602
2022-07-20,47,6649
2022-07-21,24,6673
2022-07-22,49,6722
2022-07-23,29,6751
2022-07-24,15,6766
2022-07-25,26,6792
2022-07-26,6,6798
2022-07-27,20,6818
2022-07-28,9,6827
2022-07-29,19,6846
2022-07-30,26,6872
2022-07-31,11,6883
2022-08-01,19,6902
2022-08-02,13,6915
2022-08-03,13,6928
2022-08-04,44,6972
2022-08-05,18,6990
2022-08-06,31,7021
2022-08-07,23,7044
2022-08-08,24,7068
2022-08-09,14,7082
2022-08-10,27,7109
2022-08-11,18,7127
2022-08-12,27,7154
2022-08-13,32,7186
2022-08-14,34,7220
2022-08-15,32,7252
2022-08-16,49,7301
2022-08-17,32,7333
2022-08-18,23,7356
2022-08-19,22,7378
2022-08-20,25,7403
2022-08-21,34,7437
2022-08-22,20,7457
2022-08-23,36,7493
2022-08-24,32,7525
2022-08-25,20,7545
2022-08-26,20,7565
2022-08-27,34,7599
2022-08-28,32,7631
2022-08-29,97,7728
2022-08-30,34,7762
2022-08-31,49,7811
2022-09-01,47,7858
2022-09-02,53,7911
2022-09-03,42,7953
2022-09-04,57,8010
2022-09-05,40,8050
2022-09-06,61,8111
2022-09-07,83,8194
2022-09-08,64,8258
2022-09-09,50,8308
2022-09-10,50,8358
2022-09-11,49,8407
2022-09-12,59,8466
2022-09-13,51,8517
2022-09-14,40,8557
2022-09-15,31,8588
2022-09-16,51,8639
2022-09-17,62,8701
2022-09-18,31,8732
2022-09-19,44,8776
2022-09-20,56,8832
2022-09-21,47,8879
2022-09-22,78,8957
2022-09-23,36,8993
2022-09-24,87,9080
2022-09-25,92,9172
2022-09-26,86,9258
2022-09-27,54,9312
2022-09-28,75,9387
2022-09-29,65,9452
2022-09-30,96,9548
2022-10-01,95,9643
2022-10-02,54,9697
2022-10-03,60,9757
2022-10-04,93,9850
