date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,92,303
2022-02-27,102,405
2022-02-28,73,478
2022-03-01,41,519
2022-03-02,55,574
2022-03-03,91,665
2022-03-04,71,736
2022-03-05,96,832
2022-03-06,135,967
2022-03-07,90,1057
2022-03-08,92,1149
2022-03-09,65,1214
2022-03-10,51,1265
2022-03-11,66,1331
2022-03-12,102,1433
2022-03-13,70,1503
2022-03-14,79,1582
2022-03-15,59,1641
2022-03-16,55,1696
2022-03-17,29,1725
2022-03-18,45,1770
2022-03-19,35,1805
2022-03-20,38,1843
2022-03-21,55,1898
2022-03-22,33,1931
2022-03-23,51,1982
2022-03-24,67,2049
2022-03-25,73,2122
2022-03-26,50,2172
2022-03-27,33,2205
2022-03-28,49,2254
2022-03-29,63,2317
2022-03-30,59,2376
2022-03-31,44,2420
2022-04-01,56,2476
2022-04-02,32,2508
2022-04-03,15,2523
2022-04-04,20,2543
2022-04-05,33,2576
2022-04-06,22,2598
2022-04-07,14,2612
2022-04-08,14,2626
2022-04-09,26,2652
2022-04-10,26,2678
2022-04-11,24,2702
2022-04-12,24,2726
2022-04-13,56,2782
2022-04-14,36,2818
2022-04-15,25,2843
2022-04-16,29,2872
2022-04-17,24,2896
2022-04-18,39,2935
2022-04-19,38,2973
2022-04-20,30,3003
2022-04-21,56,3059
2022-04-22,68,3127
2022-04-23,46,3173
2022-04-24,31,3204
2022-04-25,64,3268
2022-04-26,26,3294
2022-04-27,46,3340
2022-04-28,42,3382
2022-04-29,23,3405
2022-04-30,41,3446
2022-05-01,33,3479
2022-05-02,39,3518
2022-05-03,46,3564
2022-05-04,32,3596
2022-05-05,46,3642
2022-05-06,65,3707
2022-05-07,44,3751
2022-05-08,50,3801
2022-05-09,32,3833
2022-05-10,40,3873
2022-05-11,41,3914
2022-05-12,31,3945
2022-05-13,26,3971
2022-05-14,31,4002
2022-05-15,31,4033
2022-05-16,27,4060
2022-05-17,38,4098
2022-05-18,21,4119
2022-05-19,76,4195
2022-05-20,52,4247
2022-05-21,48,4295
2022-05-22,45,4340
2022-05-23,58,4398
2022-05-24,40,4438
2022-05-25,30,4468
2022-05-26,47,4515
2022-05-27,37,4552
2022-05-28,42,4594
2022-05-29,47,4641
2022-05-30,30,4671
2022-05-31,30,4701
2022-06-01,42,4743
2022-06-02,24,4767
2022-06-03,36,4803
2022-06-04,26,4829
2022-06-05,45,4874
2022-06-06,27,4901
