date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,91,302
2022-02-27,102,404
2022-02-28,71,475
2022-03-01,41,516
2022-03-02,54,570
2022-03-03,91,661
2022-03-04,71,732
2022-03-05,96,828
2022-03-06,135,963
2022-03-07,90,1053
2022-03-08,92,1145
2022-03-09,65,1210
2022-03-10,51,1261
2022-03-11,66,1327
2022-03-12,102,1429
2022-03-13,70,1499
2022-03-14,79,1578
2022-03-15,59,1637
2022-03-16,55,1692
2022-03-17,29,1721
2022-03-18,45,1766
2022-03-19,35,1801
2022-03-20,38,1839
2022-03-21,55,1894
2022-03-22,32,1926
2022-03-23,51,1977
2022-03-24,67,2044
2022-03-25,73,2117
2022-03-26,50,2167
2022-03-27,33,2200
2022-03-28,49,2249
2022-03-29,63,2312
2022-03-30,59,2371
2022-03-31,44,2415
2022-04-01,56,2471
2022-04-02,32,2503
2022-04-03,15,2518
2022-04-04,20,2538
2022-04-05,33,2571
2022-04-06,22,2593
2022-04-07,14,2607
2022-04-08,13,2620
2022-04-09,26,2646
2022-04-10,26,2672
2022-04-11,24,2696
2022-04-12,24,2720
2022-04-13,56,2776
2022-04-14,36,2812
2022-04-15,25,2837
2022-04-16,29,2866
2022-04-17,24,2890
2022-04-18,38,2928
2022-04-19,38,2966
2022-04-20,30,2996
2022-04-21,56,3052
2022-04-22,68,3120
2022-04-23,46,3166
2022-04-24,31,3197
2022-04-25,64,3261
2022-04-26,26,3287
2022-04-27,46,3333
2022-04-28,42,3375
2022-04-29,23,3398
2022-04-30,40,3438
2022-05-01,33,3471
2022-05-02,39,3510
2022-05-03,46,3556
2022-05-04,32,3588
2022-05-05,46,3634
2022-05-06,65,3699
2022-05-07,44,3743
2022-05-08,50,3793
2022-05-09,32,3825
2022-05-10,39,3864
2022-05-11,41,3905
2022-05-12,31,3936
2022-05-13,26,3962
2022-05-14,31,3993
2022-05-15,31,4024
2022-05-16,27,4051
2022-05-17,38,4089
2022-05-18,21,4110
2022-05-19,76,4186
2022-05-20,52,4238
2022-05-21,48,4286
2022-05-22,45,4331
2022-05-23,58,4389
2022-05-24,40,4429
2022-05-25,30,4459
2022-05-26,47,4506
2022-05-27,37,4543
2022-05-28,42,4585
2022-05-29,47,4632
2022-05-30,30,4662
2022-05-31,30,4692
2022-06-01,42,4734
2022-06-02,24,4758
2022-06-03,36,4794
2022-06-04,26,4820
2022-06-05,45,4865
2022-06-06,27,4892
