date,change,total
2022-02-24,111,111
2022-02-25,101,212
2022-02-26,92,304
2022-02-27,102,406
2022-02-28,73,479
2022-03-01,41,520
2022-03-02,55,575
2022-03-03,91,666
2022-03-04,71,737
2022-03-05,96,833
2022-03-06,135,968
2022-03-07,91,1059
2022-03-08,92,1151
2022-03-09,65,1216
2022-03-10,51,1267
2022-03-11,67,1334
2022-03-12,102,1436
2022-03-13,69,1505
2022-03-14,80,1585
2022-03-15,61,1646
2022-03-16,56,1702
2022-03-17,30,1732
2022-03-18,46,1778
2022-03-19,34,1812
2022-03-20,38,1850
2022-03-21,55,1905
2022-03-22,33,1938
2022-03-23,52,1990
2022-03-24,67,2057
2022-03-25,73,2130
2022-03-26,49,2179
2022-03-27,35,2214
2022-03-28,50,2264
2022-03-29,63,2327
2022-03-30,59,2386
2022-03-31,44,2430
2022-04-01,58,2488
2022-04-02,32,2520
2022-04-03,15,2535
2022-04-04,21,2556
2022-04-05,33,2589
2022-04-06,22,2611
2022-04-07,15,2626
2022-04-08,14,2640
2022-04-09,26,2666
2022-04-10,26,2692
2022-04-11,25,2717
2022-04-12,24,2741
2022-04-13,56,2797
2022-04-14,36,2833
2022-04-15,25,2858
2022-04-16,29,2887
2022-04-17,25,2912
2022-04-18,42,2954
2022-04-19,38,2992
2022-04-20,30,3022
2022-04-21,56,3078
2022-04-22,73,3151
2022-04-23,46,3197
2022-04-24,31,3228
2022-04-25,64,3292
2022-04-26,26,3318
2022-04-27,46,3364
2022-04-28,42,3406
2022-04-29,23,3429
2022-04-30,42,3471
2022-05-01,33,3504
2022-05-02,39,3543
2022-05-03,46,3589
2022-05-04,32,3621
2022-05-05,46,3667
2022-05-06,67,3734
2022-05-07,45,3779
2022-05-08,50,3829
2022-05-09,33,3862
2022-05-10,41,3903
2022-05-11,43,3946
2022-05-12,31,3977
2022-05-13,27,4004
2022-05-14,32,4036
2022-05-15,32,4068
2022-05-16,28,4096
2022-05-17,38,4134
2022-05-18,21,4155
2022-05-19,76,4231
2022-05-20,52,4283
2022-05-21,48,4331
2022-05-22,45,4376
2022-05-23,58,4434
2022-05-24,40,4474
2022-05-25,31,4505
2022-05-26,47,4552
2022-05-27,37,4589
2022-05-28,43,4632
2022-05-29,47,4679
2022-05-30,30,4709
2022-05-31,31,4740
2022-06-01,43,4783
2022-06-02,26,4809
2022-06-03,36,4845
2022-06-04,27,4872
2022-06-05,47,4919
2022-06-06,28,4947
2022-06-07,34,4981
2022-06-08,29,5010
2022-06-09,39,5049
2022-06-10,22,5071
2022-06-11,25,5096
2022-06-12,26,5122
2022-06-13,26,5148
2022-06-14,38,5186
2022-06-15,14,5200
2022-06-16,26,5226
2022-06-17,40,5266
2022-06-18,15,5281
2022-06-19,28,5309
2022-06-20,32,5341
2022-06-21,43,5384
2022-06-22,34,5418
2022-06-23,27,5445
2022-06-24,38,5483
2022-06-25,29,5512
2022-06-26,53,5565
2022-06-27,47,5612
2022-06-28,24,5636
2022-06-29,33,5669
2022-06-30,41,5710
2022-07-01,15,5725
2022-07-02,40,5765
2022-07-03,44,5809
2022-07-04,45,5854
2022-07-05,33,5887
2022-07-06,32,5919
2022-07-07,45,5964
2022-07-08,49,6013
2022-07-09,52,6065
2022-07-10,24,6089
2022-07-11,17,6106
2022-07-12,19,6125
2022-07-13,32,6157
2022-07-14,19,6176
2022-07-15,20,6196
2022-07-16,31,6227
2022-07-17,28,6255
2022-07-18,24,6279
2022-07-19,52,6331
2022-07-20,44,6375
2022-07-21,23,6398
2022-07-22,48,6446
2022-07-23,26,6472
2022-07-24,14,6486
2022-07-25,21,6507
2022-07-26,6,6513
2022-07-27,19,6532
2022-07-28,9,6541
2022-07-29,16,6557
2022-07-30,25,6582
2022-07-31,11,6593
2022-08-01,18,6611
2022-08-02,14,6625
2022-08-03,11,6636
2022-08-04,44,6680
2022-08-05,15,6695
2022-08-06,29,6724
2022-08-07,22,6746
2022-08-08,23,6769
2022-08-09,13,6782
2022-08-10,28,6810
2022-08-11,16,6826
2022-08-12,27,6853
2022-08-13,30,6883
2022-08-14,30,6913
2022-08-15,31,6944
2022-08-16,44,6988
2022-08-17,32,7020
2022-08-18,18,7038
2022-08-19,19,7057
