date,change,total
2022-02-24,111,111
2022-02-25,104,215
2022-02-26,93,308
2022-02-27,104,412
2022-02-28,75,487
2022-03-01,42,529
2022-03-02,54,583
2022-03-03,91,674
2022-03-04,72,746
2022-03-05,98,844
2022-03-06,137,981
2022-03-07,92,1073
2022-03-08,92,1165
2022-03-09,66,1231
2022-03-10,51,1282
2022-03-11,67,1349
2022-03-12,103,1452
2022-03-13,70,1522
2022-03-14,80,1602
2022-03-15,64,1666
2022-03-16,58,1724
2022-03-17,30,1754
2022-03-18,46,1800
2022-03-19,34,1834
2022-03-20,40,1874
2022-03-21,56,1930
2022-03-22,33,1963
2022-03-23,54,2017
2022-03-24,67,2084
2022-03-25,75,2159
2022-03-26,50,2209
2022-03-27,35,2244
2022-03-28,50,2294
2022-03-29,64,2358
2022-03-30,63,2421
2022-03-31,44,2465
2022-04-01,59,2524
2022-04-02,31,2555
2022-04-03,15,2570
2022-04-04,21,2591
2022-04-05,34,2625
2022-04-06,23,2648
2022-04-07,16,2664
2022-04-08,15,2679
2022-04-09,27,2706
2022-04-10,27,2733
2022-04-11,26,2759
2022-04-12,25,2784
2022-04-13,57,2841
2022-04-14,38,2879
2022-04-15,25,2904
2022-04-16,29,2933
2022-04-17,25,2958
2022-04-18,43,3001
2022-04-19,40,3041
2022-04-20,32,3073
2022-04-21,57,3130
2022-04-22,73,3203
2022-04-23,47,3250
2022-04-24,31,3281
2022-04-25,65,3346
2022-04-26,26,3372
2022-04-27,46,3418
2022-04-28,42,3460
2022-04-29,23,3483
2022-04-30,43,3526
2022-05-01,32,3558
2022-05-02,39,3597
2022-05-03,46,3643
2022-05-04,32,3675
2022-05-05,47,3722
2022-05-06,68,3790
2022-05-07,47,3837
2022-05-08,51,3888
2022-05-09,34,3922
2022-05-10,42,3964
2022-05-11,43,4007
2022-05-12,33,4040
2022-05-13,27,4067
2022-05-14,32,4099
2022-05-15,33,4132
2022-05-16,28,4160
2022-05-17,38,4198
2022-05-18,23,4221
2022-05-19,76,4297
2022-05-20,51,4348
2022-05-21,48,4396
2022-05-22,45,4441
2022-05-23,60,4501
2022-05-24,40,4541
2022-05-25,32,4573
2022-05-26,47,4620
2022-05-27,37,4657
2022-05-28,46,4703
2022-05-29,49,4752
2022-05-30,32,4784
2022-05-31,30,4814
2022-06-01,44,4858
2022-06-02,26,4884
2022-06-03,36,4920
2022-06-04,27,4947
2022-06-05,47,4994
2022-06-06,31,5025
2022-06-07,34,5059
2022-06-08,29,5088
2022-06-09,39,5127
2022-06-10,22,5149
2022-06-11,25,5174
2022-06-12,25,5199
2022-06-13,27,5226
2022-06-14,39,5265
2022-06-15,14,5279
2022-06-16,28,5307
2022-06-17,39,5346
2022-06-18,17,5363
2022-06-19,29,5392
2022-06-20,34,5426
2022-06-21,45,5471
2022-06-22,34,5505
2022-06-23,28,5533
2022-06-24,39,5572
2022-06-25,30,5602
2022-06-26,54,5656
2022-06-27,47,5703
2022-06-28,26,5729
2022-06-29,33,5762
2022-06-30,43,5805
2022-07-01,15,5820
2022-07-02,40,5860
2022-07-03,44,5904
2022-07-04,46,5950
