date,change,total
2022-02-24,111,111
2022-02-25,95,206
2022-02-26,89,295
2022-02-27,99,394
2022-02-28,70,464
2022-03-01,39,503
2022-03-02,52,555
2022-03-03,87,642
2022-03-04,71,713
2022-03-05,95,808
2022-03-06,134,942
2022-03-07,83,1025
2022-03-08,89,1114
2022-03-09,63,1177
2022-03-10,51,1228
2022-03-11,66,1294
2022-03-12,99,1393
2022-03-13,67,1460
2022-03-14,78,1538
2022-03-15,58,1596
2022-03-16,54,1650
2022-03-17,28,1678
2022-03-18,44,1722
2022-03-19,33,1755
2022-03-20,36,1791
2022-03-21,52,1843
2022-03-22,27,1870
2022-03-23,52,1922
2022-03-24,65,1987
2022-03-25,71,2058
2022-03-26,49,2107
2022-03-27,32,2139
2022-03-28,46,2185
2022-03-29,57,2242
2022-03-30,58,2300
2022-03-31,42,2342
2022-04-01,55,2397
2022-04-02,31,2428
2022-04-03,14,2442
2022-04-04,19,2461
2022-04-05,30,2491
2022-04-06,22,2513
2022-04-07,14,2527
2022-04-08,13,2540
2022-04-09,25,2565
2022-04-10,26,2591
2022-04-11,21,2612
2022-04-12,24,2636
2022-04-13,49,2685
2022-04-14,36,2721
2022-04-15,25,2746
2022-04-16,29,2775
2022-04-17,22,2797
2022-04-18,38,2835
2022-04-19,38,2873
2022-04-20,30,2903
2022-04-21,54,2957
2022-04-22,69,3026
2022-04-23,42,3068
2022-04-24,30,3098
2022-04-25,58,3156
2022-04-26,26,3182
2022-04-27,45,3227
2022-04-28,42,3269
2022-04-29,22,3291
2022-04-30,40,3331
2022-05-01,32,3363
2022-05-02,38,3401
2022-05-03,46,3447
2022-05-04,31,3478
2022-05-05,43,3521
2022-05-06,62,3583
2022-05-07,42,3625
2022-05-08,48,3673
2022-05-09,31,3704
2022-05-10,37,3741
2022-05-11,39,3780
2022-05-12,29,3809
2022-05-13,26,3835
2022-05-14,31,3866
2022-05-15,30,3896
2022-05-16,27,3923
2022-05-17,38,3961
2022-05-18,20,3981
2022-05-19,74,4055
2022-05-20,50,4105
2022-05-21,46,4151
2022-05-22,43,4194
2022-05-23,57,4251
2022-05-24,40,4291
2022-05-25,29,4320
2022-05-26,45,4365
2022-05-27,38,4403
2022-05-28,41,4444
2022-05-29,45,4489
2022-05-30,27,4516
2022-05-31,29,4545
2022-06-01,42,4587
2022-06-02,24,4611
2022-06-03,35,4646
2022-06-04,26,4672
2022-06-05,43,4715
2022-06-06,25,4740
2022-06-07,32,4772
2022-06-08,26,4798
2022-06-09,36,4834
2022-06-10,21,4855
2022-06-11,24,4879
2022-06-12,24,4903
2022-06-13,23,4926
2022-06-14,35,4961
2022-06-15,11,4972
2022-06-16,25,4997
2022-06-17,37,5034
2022-06-18,14,5048
2022-06-19,26,5074
2022-06-20,29,5103
2022-06-21,41,5144
2022-06-22,34,5178
2022-06-23,22,5200
2022-06-24,37,5237
2022-06-25,29,5266
2022-06-26,51,5317
2022-06-27,46,5363
2022-06-28,23,5386
2022-06-29,28,5414
2022-06-30,41,5455
2022-07-01,14,5469
2022-07-02,41,5510
2022-07-03,43,5553
2022-07-04,43,5596
2022-07-05,30,5626
2022-07-06,31,5657
2022-07-07,40,5697
2022-07-08,49,5746
2022-07-09,51,5797
2022-07-10,21,5818
2022-07-11,15,5833
2022-07-12,18,5851
2022-07-13,32,5883
2022-07-14,17,5900
2022-07-15,15,5915
2022-07-16,30,5945
2022-07-17,26,5971
2022-07-18,24,5995
2022-07-19,49,6044
2022-07-20,44,6088
2022-07-21,22,6110
2022-07-22,47,6157
2022-07-23,22,6179
2022-07-24,12,6191
2022-07-25,20,6211
2022-07-26,4,6215
2022-07-27,17,6232
2022-07-28,9,6241
2022-07-29,15,6256
2022-07-30,24,6280
2022-07-31,11,6291
2022-08-01,17,6308
2022-08-02,11,6319
2022-08-03,11,6330
2022-08-04,42,6372
2022-08-05,14,6386
2022-08-06,28,6414
2022-08-07,22,6436
2022-08-08,20,6456
2022-08-09,12,6468
2022-08-10,22,6490
2022-08-11,14,6504
2022-08-12,25,6529
2022-08-13,28,6557
2022-08-14,27,6584
2022-08-15,29,6613
2022-08-16,42,6655
2022-08-17,29,6684
2022-08-18,15,6699
2022-08-19,19,6718
2022-08-20,23,6741
2022-08-21,27,6768
2022-08-22,17,6785
2022-08-23,30,6815
2022-08-24,28,6843
2022-08-25,15,6858
2022-08-26,18,6876
2022-08-27,28,6904
2022-08-28,23,6927
2022-08-29,86,7013
2022-08-30,25,7038
2022-08-31,41,7079
2022-09-01,40,7119
2022-09-02,49,7168
2022-09-03,39,7207
2022-09-04,52,7259
2022-09-05,34,7293
2022-09-06,49,7342
2022-09-07,80,7422
2022-09-08,53,7475
2022-09-09,35,7510
2022-09-10,44,7554
2022-09-11,33,7587
2022-09-12,53,7640
2022-09-13,39,7679
2022-09-14,33,7712
2022-09-15,26,7738
2022-09-16,41,7779
2022-09-17,52,7831
2022-09-18,28,7859
2022-09-19,42,7901
2022-09-20,48,7949
2022-09-21,31,7980
2022-09-22,60,8040
2022-09-23,30,8070
2022-09-24,71,8141
2022-09-25,78,8219
2022-09-26,73,8292
2022-09-27,44,8336
2022-09-28,65,8401
2022-09-29,56,8457
2022-09-30,74,8531
2022-10-01,81,8612
2022-10-02,42,8654
2022-10-03,47,8701
2022-10-04,81,8782
2022-10-05,97,8879
2022-10-06,58,8937
2022-10-07,66,9003
2022-10-08,51,9054
2022-10-09,54,9108
2022-10-10,44,9152
2022-10-11,46,9198
2022-10-12,68,9266
2022-10-13,46,9312
2022-10-14,59,9371
2022-10-15,81,9452
2022-10-16,33,9485
2022-10-17,35,9520
2022-10-18,56,9576
2022-10-19,82,9658
2022-10-20,58,9716
2022-10-21,31,9747
2022-10-22,64,9811
2022-10-23,55,9866
2022-10-24,138,10004
2022-10-25,57,10061
2022-10-26,34,10095
2022-10-27,57,10152
2022-10-28,40,10192
2022-10-29,69,10261
2022-10-30,66,10327
2022-10-31,58,10385
2022-11-01,95,10480
2022-11-02,69,10549
2022-11-03,53,10602
2022-11-04,74,10676
2022-11-05,57,10733
2022-11-06,81,10814
2022-11-07,61,10875
2022-11-08,71,10946
2022-11-09,56,11002
2022-11-10,56,11058
2022-11-11,68,11126
2022-11-12,85,11211
