date,change,total
2022-02-24,111,111
2022-02-25,101,212
2022-02-26,92,304
2022-02-27,102,406
2022-02-28,73,479
2022-03-01,41,520
2022-03-02,55,575
2022-03-03,91,666
2022-03-04,71,737
2022-03-05,96,833
2022-03-06,135,968
2022-03-07,91,1059
2022-03-08,92,1151
2022-03-09,65,1216
2022-03-10,51,1267
2022-03-11,67,1334
2022-03-12,102,1436
2022-03-13,69,1505
2022-03-14,80,1585
2022-03-15,61,1646
2022-03-16,56,1702
2022-03-17,30,1732
2022-03-18,46,1778
2022-03-19,34,1812
2022-03-20,38,1850
2022-03-21,55,1905
2022-03-22,33,1938
2022-03-23,52,1990
2022-03-24,67,2057
2022-03-25,73,2130
2022-03-26,49,2179
2022-03-27,35,2214
2022-03-28,50,2264
2022-03-29,63,2327
2022-03-30,59,2386
2022-03-31,44,2430
2022-04-01,58,2488
2022-04-02,32,2520
2022-04-03,15,2535
2022-04-04,21,2556
2022-04-05,33,2589
2022-04-06,23,2612
2022-04-07,15,2627
2022-04-08,14,2641
2022-04-09,26,2667
2022-04-10,26,2693
2022-04-11,25,2718
2022-04-12,24,2742
2022-04-13,56,2798
2022-04-14,36,2834
2022-04-15,25,2859
2022-04-16,29,2888
2022-04-17,25,2913
2022-04-18,43,2956
2022-04-19,38,2994
2022-04-20,30,3024
2022-04-21,56,3080
2022-04-22,73,3153
2022-04-23,46,3199
2022-04-24,31,3230
2022-04-25,64,3294
2022-04-26,26,3320
2022-04-27,46,3366
2022-04-28,42,3408
2022-04-29,24,3432
2022-04-30,42,3474
2022-05-01,33,3507
2022-05-02,39,3546
2022-05-03,46,3592
2022-05-04,32,3624
2022-05-05,46,3670
2022-05-06,67,3737
2022-05-07,45,3782
2022-05-08,50,3832
2022-05-09,33,3865
2022-05-10,41,3906
2022-05-11,43,3949
2022-05-12,31,3980
2022-05-13,27,4007
2022-05-14,32,4039
2022-05-15,32,4071
2022-05-16,28,4099
2022-05-17,38,4137
2022-05-18,21,4158
2022-05-19,76,4234
2022-05-20,52,4286
2022-05-21,48,4334
2022-05-22,45,4379
2022-05-23,59,4438
2022-05-24,40,4478
2022-05-25,31,4509
2022-05-26,47,4556
2022-05-27,37,4593
2022-05-28,43,4636
2022-05-29,47,4683
2022-05-30,30,4713
2022-05-31,31,4744
2022-06-01,43,4787
2022-06-02,26,4813
2022-06-03,36,4849
2022-06-04,27,4876
2022-06-05,47,4923
2022-06-06,28,4951
2022-06-07,34,4985
2022-06-08,29,5014
2022-06-09,39,5053
2022-06-10,22,5075
2022-06-11,25,5100
2022-06-12,26,5126
2022-06-13,26,5152
2022-06-14,38,5190
2022-06-15,14,5204
2022-06-16,26,5230
2022-06-17,40,5270
2022-06-18,15,5285
2022-06-19,28,5313
2022-06-20,32,5345
2022-06-21,43,5388
2022-06-22,34,5422
2022-06-23,27,5449
2022-06-24,38,5487
2022-06-25,29,5516
2022-06-26,53,5569
2022-06-27,47,5616
2022-06-28,24,5640
2022-06-29,33,5673
2022-06-30,41,5714
2022-07-01,15,5729
2022-07-02,40,5769
2022-07-03,44,5813
2022-07-04,45,5858
2022-07-05,33,5891
2022-07-06,32,5923
2022-07-07,45,5968
2022-07-08,49,6017
2022-07-09,52,6069
2022-07-10,24,6093
2022-07-11,17,6110
2022-07-12,19,6129
2022-07-13,32,6161
2022-07-14,19,6180
2022-07-15,20,6200
2022-07-16,31,6231
2022-07-17,28,6259
2022-07-18,24,6283
2022-07-19,52,6335
2022-07-20,44,6379
2022-07-21,23,6402
2022-07-22,48,6450
2022-07-23,26,6476
2022-07-24,14,6490
2022-07-25,21,6511
2022-07-26,6,6517
2022-07-27,19,6536
2022-07-28,9,6545
2022-07-29,16,6561
2022-07-30,25,6586
2022-07-31,11,6597
2022-08-01,18,6615
2022-08-02,14,6629
2022-08-03,11,6640
2022-08-04,44,6684
2022-08-05,15,6699
2022-08-06,29,6728
2022-08-07,22,6750
2022-08-08,23,6773
2022-08-09,13,6786
2022-08-10,28,6814
2022-08-11,16,6830
2022-08-12,27,6857
2022-08-13,30,6887
2022-08-14,30,6917
2022-08-15,31,6948
2022-08-16,44,6992
2022-08-17,32,7024
2022-08-18,18,7042
2022-08-19,19,7061
