date,change,total
2022-02-24,111,111
2022-02-25,102,213
2022-02-26,93,306
2022-02-27,104,410
2022-02-28,75,485
2022-03-01,42,527
2022-03-02,54,581
2022-03-03,91,672
2022-03-04,72,744
2022-03-05,98,842
2022-03-06,137,979
2022-03-07,92,1071
2022-03-08,92,1163
2022-03-09,66,1229
2022-03-10,51,1280
2022-03-11,67,1347
2022-03-12,103,1450
2022-03-13,69,1519
2022-03-14,80,1599
2022-03-15,64,1663
2022-03-16,58,1721
2022-03-17,30,1751
2022-03-18,46,1797
2022-03-19,34,1831
2022-03-20,40,1871
2022-03-21,56,1927
2022-03-22,33,1960
2022-03-23,53,2013
2022-03-24,67,2080
2022-03-25,74,2154
2022-03-26,49,2203
2022-03-27,35,2238
2022-03-28,50,2288
2022-03-29,64,2352
2022-03-30,62,2414
2022-03-31,44,2458
2022-04-01,59,2517
2022-04-02,31,2548
2022-04-03,15,2563
2022-04-04,21,2584
2022-04-05,34,2618
2022-04-06,23,2641
2022-04-07,16,2657
2022-04-08,14,2671
2022-04-09,27,2698
2022-04-10,26,2724
2022-04-11,26,2750
2022-04-12,24,2774
2022-04-13,56,2830
2022-04-14,38,2868
2022-04-15,25,2893
2022-04-16,29,2922
2022-04-17,25,2947
2022-04-18,43,2990
2022-04-19,40,3030
2022-04-20,32,3062
2022-04-21,57,3119
2022-04-22,73,3192
2022-04-23,47,3239
2022-04-24,31,3270
2022-04-25,65,3335
2022-04-26,26,3361
2022-04-27,46,3407
2022-04-28,42,3449
2022-04-29,23,3472
2022-04-30,43,3515
2022-05-01,32,3547
2022-05-02,39,3586
2022-05-03,46,3632
2022-05-04,32,3664
2022-05-05,47,3711
2022-05-06,68,3779
2022-05-07,46,3825
2022-05-08,51,3876
2022-05-09,34,3910
2022-05-10,42,3952
2022-05-11,43,3995
2022-05-12,33,4028
2022-05-13,27,4055
2022-05-14,32,4087
2022-05-15,33,4120
2022-05-16,28,4148
2022-05-17,38,4186
2022-05-18,22,4208
2022-05-19,76,4284
2022-05-20,51,4335
2022-05-21,48,4383
2022-05-22,45,4428
2022-05-23,60,4488
2022-05-24,40,4528
2022-05-25,32,4560
2022-05-26,47,4607
2022-05-27,37,4644
2022-05-28,44,4688
2022-05-29,48,4736
2022-05-30,32,4768
2022-05-31,30,4798
2022-06-01,44,4842
2022-06-02,26,4868
2022-06-03,36,4904
2022-06-04,27,4931
2022-06-05,47,4978
2022-06-06,31,5009
2022-06-07,34,5043
2022-06-08,29,5072
2022-06-09,39,5111
2022-06-10,22,5133
2022-06-11,25,5158
2022-06-12,25,5183
2022-06-13,27,5210
2022-06-14,38,5248
2022-06-15,14,5262
2022-06-16,28,5290
2022-06-17,39,5329
2022-06-18,16,5345
2022-06-19,29,5374
2022-06-20,33,5407
2022-06-21,45,5452
2022-06-22,34,5486
2022-06-23,28,5514
2022-06-24,39,5553
2022-06-25,30,5583
2022-06-26,54,5637
2022-06-27,47,5684
2022-06-28,26,5710
2022-06-29,33,5743
2022-06-30,43,5786
2022-07-01,15,5801
2022-07-02,40,5841
2022-07-03,44,5885
2022-07-04,46,5931
2022-07-05,32,5963
2022-07-06,32,5995
2022-07-07,47,6042
2022-07-08,51,6093
2022-07-09,52,6145
