date,change,total
2022-02-24,113,113
2022-02-25,106,219
2022-02-26,93,312
2022-02-27,107,419
2022-02-28,75,494
2022-03-01,43,537
2022-03-02,54,591
2022-03-03,96,687
2022-03-04,73,760
2022-03-05,100,860
2022-03-06,141,1001
2022-03-07,99,1100
2022-03-08,94,1194
2022-03-09,66,1260
2022-03-10,52,1312
2022-03-11,70,1382
2022-03-12,103,1485
2022-03-13,72,1557
2022-03-14,81,1638
2022-03-15,62,1700
2022-03-16,62,1762
2022-03-17,34,1796
2022-03-18,47,1843
2022-03-19,34,1877
2022-03-20,42,1919
2022-03-21,56,1975
2022-03-22,34,2009
2022-03-23,56,2065
2022-03-24,70,2135
2022-03-25,78,2213
2022-03-26,56,2269
2022-03-27,36,2305
2022-03-28,50,2355
2022-03-29,62,2417
2022-03-30,68,2485
2022-03-31,44,2529
2022-04-01,65,2594
2022-04-02,31,2625
2022-04-03,15,2640
2022-04-04,21,2661
2022-04-05,36,2697
2022-04-06,26,2723
2022-04-07,17,2740
2022-04-08,17,2757
2022-04-09,28,2785
2022-04-10,29,2814
2022-04-11,26,2840
2022-04-12,27,2867
2022-04-13,57,2924
2022-04-14,44,2968
2022-04-15,26,2994
2022-04-16,30,3024
2022-04-17,24,3048
2022-04-18,44,3092
2022-04-19,41,3133
2022-04-20,34,3167
2022-04-21,57,3224
2022-04-22,73,3297
2022-04-23,50,3347
2022-04-24,33,3380
2022-04-25,66,3446
2022-04-26,28,3474
2022-04-27,47,3521
2022-04-28,43,3564
2022-04-29,23,3587
2022-04-30,44,3631
2022-05-01,35,3666
2022-05-02,43,3709
2022-05-03,46,3755
2022-05-04,31,3786
2022-05-05,47,3833
2022-05-06,73,3906
2022-05-07,47,3953
2022-05-08,50,4003
2022-05-09,34,4037
2022-05-10,43,4080
2022-05-11,43,4123
2022-05-12,35,4158
2022-05-13,29,4187
2022-05-14,34,4221
2022-05-15,33,4254
2022-05-16,29,4283
2022-05-17,38,4321
2022-05-18,24,4345
2022-05-19,79,4424
2022-05-20,52,4476
2022-05-21,48,4524
2022-05-22,45,4569
2022-05-23,62,4631
2022-05-24,41,4672
2022-05-25,35,4707
2022-05-26,46,4753
2022-05-27,37,4790
2022-05-28,49,4839
2022-05-29,50,4889
2022-05-30,33,4922
2022-05-31,32,4954
2022-06-01,47,5001
2022-06-02,27,5028
2022-06-03,37,5065
2022-06-04,28,5093
2022-06-05,47,5140
2022-06-06,32,5172
2022-06-07,33,5205
2022-06-08,29,5234
2022-06-09,43,5277
2022-06-10,22,5299
2022-06-11,25,5324
2022-06-12,25,5349
2022-06-13,27,5376
2022-06-14,39,5415
2022-06-15,15,5430
2022-06-16,29,5459
2022-06-17,40,5499
2022-06-18,21,5520
2022-06-19,31,5551
2022-06-20,38,5589
2022-06-21,47,5636
2022-06-22,35,5671
2022-06-23,32,5703
2022-06-24,43,5746
2022-06-25,34,5780
2022-06-26,57,5837
2022-06-27,48,5885
2022-06-28,27,5912
2022-06-29,35,5947
2022-06-30,44,5991
2022-07-01,15,6006
2022-07-02,42,6048
2022-07-03,44,6092
2022-07-04,48,6140
2022-07-05,32,6172
2022-07-06,33,6205
2022-07-07,47,6252
2022-07-08,52,6304
2022-07-09,50,6354
2022-07-10,24,6378
2022-07-11,18,6396
2022-07-12,22,6418
2022-07-13,33,6451
2022-07-14,22,6473
2022-07-15,21,6494
2022-07-16,34,6528
2022-07-17,32,6560
2022-07-18,28,6588
2022-07-19,54,6642
2022-07-20,48,6690
2022-07-21,24,6714
2022-07-22,50,6764
2022-07-23,29,6793
2022-07-24,15,6808
2022-07-25,26,6834
2022-07-26,7,6841
2022-07-27,20,6861
2022-07-28,10,6871
2022-07-29,19,6890
2022-07-30,26,6916
2022-07-31,12,6928
2022-08-01,20,6948
2022-08-02,13,6961
2022-08-03,13,6974
2022-08-04,44,7018
2022-08-05,18,7036
2022-08-06,31,7067
2022-08-07,23,7090
2022-08-08,25,7115
2022-08-09,14,7129
2022-08-10,27,7156
2022-08-11,17,7173
2022-08-12,28,7201
2022-08-13,32,7233
2022-08-14,35,7268
2022-08-15,32,7300
2022-08-16,50,7350
2022-08-17,34,7384
2022-08-18,23,7407
2022-08-19,22,7429
2022-08-20,25,7454
2022-08-21,34,7488
2022-08-22,20,7508
2022-08-23,37,7545
2022-08-24,32,7577
2022-08-25,19,7596
2022-08-26,20,7616
2022-08-27,34,7650
2022-08-28,32,7682
2022-08-29,99,7781
2022-08-30,36,7817
2022-08-31,50,7867
2022-09-01,47,7914
2022-09-02,54,7968
2022-09-03,42,8010
2022-09-04,57,8067
2022-09-05,41,8108
2022-09-06,61,8169
2022-09-07,84,8253
2022-09-08,65,8318
2022-09-09,54,8372
2022-09-10,54,8426
2022-09-11,50,8476
2022-09-12,59,8535
2022-09-13,51,8586
2022-09-14,40,8626
2022-09-15,32,8658
2022-09-16,51,8709
2022-09-17,62,8771
2022-09-18,31,8802
2022-09-19,44,8846
2022-09-20,57,8903
2022-09-21,46,8949
2022-09-22,78,9027
2022-09-23,37,9064
2022-09-24,92,9156
2022-09-25,94,9250
2022-09-26,87,9337
2022-09-27,55,9392
2022-09-28,78,9470
2022-09-29,69,9539
2022-09-30,100,9639
2022-10-01,96,9735
2022-10-02,55,9790
2022-10-03,64,9854
2022-10-04,99,9953
