date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,92,303
2022-02-27,102,405
2022-02-28,73,478
2022-03-01,41,519
2022-03-02,55,574
2022-03-03,91,665
2022-03-04,71,736
2022-03-05,96,832
2022-03-06,135,967
2022-03-07,90,1057
2022-03-08,92,1149
2022-03-09,65,1214
2022-03-10,51,1265
2022-03-11,66,1331
2022-03-12,102,1433
2022-03-13,70,1503
2022-03-14,79,1582
2022-03-15,59,1641
2022-03-16,55,1696
2022-03-17,29,1725
2022-03-18,45,1770
2022-03-19,35,1805
2022-03-20,38,1843
2022-03-21,55,1898
2022-03-22,33,1931
2022-03-23,51,1982
2022-03-24,67,2049
2022-03-25,73,2122
2022-03-26,49,2171
2022-03-27,33,2204
2022-03-28,49,2253
2022-03-29,63,2316
2022-03-30,59,2375
2022-03-31,44,2419
2022-04-01,56,2475
2022-04-02,32,2507
2022-04-03,15,2522
2022-04-04,20,2542
2022-04-05,33,2575
2022-04-06,22,2597
2022-04-07,15,2612
2022-04-08,14,2626
2022-04-09,26,2652
2022-04-10,26,2678
2022-04-11,24,2702
2022-04-12,24,2726
2022-04-13,56,2782
2022-04-14,36,2818
2022-04-15,25,2843
2022-04-16,29,2872
2022-04-17,24,2896
2022-04-18,40,2936
2022-04-19,38,2974
2022-04-20,30,3004
2022-04-21,56,3060
2022-04-22,69,3129
2022-04-23,46,3175
2022-04-24,31,3206
2022-04-25,64,3270
2022-04-26,26,3296
2022-04-27,46,3342
2022-04-28,42,3384
2022-04-29,23,3407
2022-04-30,41,3448
2022-05-01,33,3481
2022-05-02,39,3520
2022-05-03,46,3566
2022-05-04,32,3598
2022-05-05,46,3644
2022-05-06,65,3709
2022-05-07,44,3753
2022-05-08,50,3803
2022-05-09,33,3836
2022-05-10,40,3876
2022-05-11,41,3917
2022-05-12,31,3948
2022-05-13,26,3974
2022-05-14,31,4005
2022-05-15,31,4036
2022-05-16,27,4063
2022-05-17,38,4101
2022-05-18,21,4122
2022-05-19,76,4198
2022-05-20,52,4250
2022-05-21,48,4298
2022-05-22,45,4343
2022-05-23,58,4401
2022-05-24,40,4441
2022-05-25,30,4471
2022-05-26,47,4518
2022-05-27,37,4555
2022-05-28,42,4597
2022-05-29,47,4644
2022-05-30,30,4674
2022-05-31,30,4704
2022-06-01,42,4746
2022-06-02,23,4769
2022-06-03,36,4805
2022-06-04,27,4832
2022-06-05,46,4878
2022-06-06,27,4905
