date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,101,402
2022-02-28,71,473
2022-03-01,40,513
2022-03-02,54,567
2022-03-03,90,657
2022-03-04,71,728
2022-03-05,95,823
2022-03-06,135,958
2022-03-07,87,1045
2022-03-08,91,1136
2022-03-09,64,1200
2022-03-10,51,1251
2022-03-11,66,1317
2022-03-12,102,1419
2022-03-13,70,1489
2022-03-14,79,1568
2022-03-15,58,1626
2022-03-16,54,1680
2022-03-17,29,1709
2022-03-18,44,1753
2022-03-19,33,1786
2022-03-20,38,1824
2022-03-21,53,1877
2022-03-22,29,1906
2022-03-23,52,1958
2022-03-24,66,2024
2022-03-25,71,2095
2022-03-26,50,2145
2022-03-27,32,2177
2022-03-28,47,2224
2022-03-29,59,2283
2022-03-30,58,2341
2022-03-31,45,2386
2022-04-01,55,2441
2022-04-02,31,2472
2022-04-03,15,2487
2022-04-04,20,2507
2022-04-05,31,2538
2022-04-06,21,2559
2022-04-07,14,2573
2022-04-08,13,2586
2022-04-09,25,2611
2022-04-10,26,2637
2022-04-11,20,2657
2022-04-12,24,2681
2022-04-13,56,2737
2022-04-14,35,2772
2022-04-15,25,2797
2022-04-16,29,2826
2022-04-17,24,2850
2022-04-18,38,2888
2022-04-19,38,2926
2022-04-20,30,2956
2022-04-21,55,3011
2022-04-22,69,3080
2022-04-23,43,3123
2022-04-24,31,3154
2022-04-25,60,3214
2022-04-26,27,3241
2022-04-27,45,3286
2022-04-28,42,3328
2022-04-29,22,3350
2022-04-30,40,3390
2022-05-01,32,3422
2022-05-02,39,3461
2022-05-03,46,3507
2022-05-04,32,3539
2022-05-05,45,3584
2022-05-06,63,3647
2022-05-07,43,3690
2022-05-08,48,3738
2022-05-09,32,3770
2022-05-10,37,3807
2022-05-11,41,3848
2022-05-12,29,3877
2022-05-13,26,3903
2022-05-14,31,3934
2022-05-15,30,3964
2022-05-16,27,3991
2022-05-17,38,4029
2022-05-18,21,4050
2022-05-19,76,4126
2022-05-20,51,4177
2022-05-21,48,4225
2022-05-22,44,4269
2022-05-23,57,4326
2022-05-24,40,4366
2022-05-25,30,4396
2022-05-26,46,4442
2022-05-27,38,4480
2022-05-28,41,4521
2022-05-29,47,4568
2022-05-30,29,4597
2022-05-31,30,4627
2022-06-01,42,4669
2022-06-02,24,4693
2022-06-03,36,4729
2022-06-04,25,4754
2022-06-05,44,4798
2022-06-06,26,4824
