date,change,total
2022-02-24,112,112
2022-02-25,106,218
2022-02-26,93,311
2022-02-27,106,417
2022-02-28,75,492
2022-03-01,43,535
2022-03-02,55,590
2022-03-03,92,682
2022-03-04,73,755
2022-03-05,98,853
2022-03-06,139,992
2022-03-07,98,1090
2022-03-08,94,1184
2022-03-09,66,1250
2022-03-10,51,1301
2022-03-11,70,1371
2022-03-12,103,1474
2022-03-13,70,1544
2022-03-14,80,1624
2022-03-15,64,1688
2022-03-16,61,1749
2022-03-17,35,1784
2022-03-18,46,1830
2022-03-19,34,1864
2022-03-20,43,1907
2022-03-21,56,1963
2022-03-22,34,1997
2022-03-23,56,2053
2022-03-24,69,2122
2022-03-25,76,2198
2022-03-26,55,2253
2022-03-27,35,2288
2022-03-28,51,2339
2022-03-29,61,2400
2022-03-30,68,2468
2022-03-31,43,2511
2022-04-01,63,2574
2022-04-02,31,2605
2022-04-03,15,2620
2022-04-04,22,2642
2022-04-05,35,2677
2022-04-06,26,2703
2022-04-07,16,2719
2022-04-08,17,2736
2022-04-09,28,2764
2022-04-10,27,2791
2022-04-11,27,2818
2022-04-12,27,2845
2022-04-13,58,2903
2022-04-14,44,2947
2022-04-15,27,2974
2022-04-16,29,3003
2022-04-17,24,3027
2022-04-18,44,3071
2022-04-19,41,3112
2022-04-20,34,3146
2022-04-21,57,3203
2022-04-22,72,3275
2022-04-23,48,3323
2022-04-24,32,3355
2022-04-25,66,3421
2022-04-26,27,3448
2022-04-27,47,3495
2022-04-28,42,3537
2022-04-29,23,3560
2022-04-30,43,3603
2022-05-01,34,3637
2022-05-02,42,3679
2022-05-03,46,3725
2022-05-04,32,3757
2022-05-05,46,3803
2022-05-06,73,3876
2022-05-07,48,3924
2022-05-08,51,3975
2022-05-09,34,4009
2022-05-10,43,4052
2022-05-11,42,4094
2022-05-12,36,4130
2022-05-13,28,4158
2022-05-14,33,4191
2022-05-15,33,4224
2022-05-16,28,4252
2022-05-17,38,4290
2022-05-18,24,4314
