date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,102,403
2022-02-28,71,474
2022-03-01,41,515
2022-03-02,54,569
2022-03-03,90,659
2022-03-04,71,730
2022-03-05,96,826
2022-03-06,135,961
2022-03-07,89,1050
2022-03-08,92,1142
2022-03-09,65,1207
2022-03-10,51,1258
2022-03-11,66,1324
2022-03-12,102,1426
2022-03-13,70,1496
2022-03-14,79,1575
2022-03-15,58,1633
2022-03-16,55,1688
2022-03-17,29,1717
2022-03-18,45,1762
2022-03-19,35,1797
2022-03-20,38,1835
2022-03-21,55,1890
2022-03-22,32,1922
2022-03-23,51,1973
2022-03-24,67,2040
2022-03-25,73,2113
2022-03-26,50,2163
2022-03-27,33,2196
2022-03-28,47,2243
2022-03-29,62,2305
2022-03-30,59,2364
2022-03-31,44,2408
2022-04-01,55,2463
2022-04-02,32,2495
2022-04-03,15,2510
2022-04-04,20,2530
2022-04-05,32,2562
2022-04-06,22,2584
2022-04-07,14,2598
2022-04-08,13,2611
2022-04-09,26,2637
2022-04-10,26,2663
2022-04-11,23,2686
2022-04-12,24,2710
2022-04-13,56,2766
2022-04-14,35,2801
2022-04-15,25,2826
2022-04-16,29,2855
2022-04-17,24,2879
2022-04-18,38,2917
2022-04-19,38,2955
2022-04-20,30,2985
2022-04-21,56,3041
2022-04-22,69,3110
2022-04-23,45,3155
2022-04-24,31,3186
2022-04-25,64,3250
2022-04-26,26,3276
2022-04-27,45,3321
2022-04-28,42,3363
2022-04-29,22,3385
2022-04-30,40,3425
2022-05-01,33,3458
2022-05-02,39,3497
2022-05-03,46,3543
2022-05-04,32,3575
2022-05-05,46,3621
2022-05-06,65,3686
2022-05-07,43,3729
2022-05-08,50,3779
2022-05-09,32,3811
2022-05-10,38,3849
2022-05-11,41,3890
2022-05-12,31,3921
2022-05-13,26,3947
2022-05-14,31,3978
2022-05-15,31,4009
2022-05-16,27,4036
2022-05-17,38,4074
2022-05-18,21,4095
2022-05-19,76,4171
2022-05-20,51,4222
2022-05-21,48,4270
2022-05-22,45,4315
2022-05-23,58,4373
2022-05-24,40,4413
2022-05-25,30,4443
2022-05-26,47,4490
2022-05-27,37,4527
2022-05-28,41,4568
2022-05-29,47,4615
2022-05-30,30,4645
2022-05-31,30,4675
2022-06-01,42,4717
2022-06-02,24,4741
2022-06-03,36,4777
2022-06-04,26,4803
2022-06-05,45,4848
2022-06-06,26,4874
