date,change,total
2022-02-24,111,111
2022-02-25,96,207
2022-02-26,89,296
2022-02-27,99,395
2022-02-28,70,465
2022-03-01,39,504
2022-03-02,52,556
2022-03-03,87,643
2022-03-04,71,714
2022-03-05,95,809
2022-03-06,134,943
2022-03-07,83,1026
2022-03-08,90,1116
2022-03-09,64,1180
2022-03-10,51,1231
2022-03-11,66,1297
2022-03-12,99,1396
2022-03-13,67,1463
2022-03-14,78,1541
2022-03-15,58,1599
2022-03-16,54,1653
2022-03-17,28,1681
2022-03-18,44,1725
2022-03-19,33,1758
2022-03-20,36,1794
2022-03-21,52,1846
2022-03-22,27,1873
2022-03-23,52,1925
2022-03-24,65,1990
2022-03-25,71,2061
2022-03-26,49,2110
2022-03-27,32,2142
2022-03-28,46,2188
2022-03-29,57,2245
2022-03-30,58,2303
2022-03-31,43,2346
2022-04-01,55,2401
2022-04-02,31,2432
2022-04-03,14,2446
2022-04-04,19,2465
2022-04-05,30,2495
2022-04-06,22,2517
2022-04-07,14,2531
2022-04-08,13,2544
2022-04-09,25,2569
2022-04-10,26,2595
2022-04-11,21,2616
2022-04-12,24,2640
2022-04-13,49,2689
2022-04-14,36,2725
2022-04-15,25,2750
2022-04-16,29,2779
2022-04-17,22,2801
2022-04-18,38,2839
2022-04-19,38,2877
2022-04-20,30,2907
2022-04-21,54,2961
2022-04-22,69,3030
2022-04-23,42,3072
2022-04-24,30,3102
2022-04-25,58,3160
2022-04-26,26,3186
2022-04-27,45,3231
2022-04-28,42,3273
2022-04-29,22,3295
2022-04-30,40,3335
2022-05-01,32,3367
2022-05-02,38,3405
2022-05-03,46,3451
2022-05-04,31,3482
2022-05-05,43,3525
2022-05-06,63,3588
2022-05-07,42,3630
2022-05-08,48,3678
2022-05-09,31,3709
2022-05-10,37,3746
2022-05-11,39,3785
2022-05-12,29,3814
2022-05-13,26,3840
2022-05-14,31,3871
2022-05-15,30,3901
2022-05-16,27,3928
2022-05-17,38,3966
2022-05-18,20,3986
2022-05-19,74,4060
2022-05-20,50,4110
2022-05-21,46,4156
2022-05-22,43,4199
2022-05-23,56,4255
2022-05-24,40,4295
2022-05-25,29,4324
2022-05-26,45,4369
2022-05-27,38,4407
2022-05-28,41,4448
2022-05-29,46,4494
2022-05-30,27,4521
2022-05-31,30,4551
2022-06-01,42,4593
