date,change,total
2022-02-24,111,111
2022-02-25,102,213
2022-02-26,92,305
2022-02-27,102,407
2022-02-28,73,480
2022-03-01,41,521
2022-03-02,56,577
2022-03-03,91,668
2022-03-04,71,739
2022-03-05,97,836
2022-03-06,136,972
2022-03-07,91,1063
2022-03-08,92,1155
2022-03-09,66,1221
2022-03-10,51,1272
2022-03-11,67,1339
2022-03-12,103,1442
2022-03-13,69,1511
2022-03-14,80,1591
2022-03-15,61,1652
2022-03-16,56,1708
2022-03-17,30,1738
2022-03-18,47,1785
2022-03-19,34,1819
2022-03-20,39,1858
2022-03-21,55,1913
2022-03-22,33,1946
2022-03-23,53,1999
2022-03-24,67,2066
2022-03-25,73,2139
2022-03-26,49,2188
2022-03-27,35,2223
2022-03-28,51,2274
2022-03-29,64,2338
2022-03-30,61,2399
2022-03-31,44,2443
2022-04-01,58,2501
2022-04-02,32,2533
2022-04-03,15,2548
2022-04-04,21,2569
2022-04-05,34,2603
2022-04-06,23,2626
2022-04-07,15,2641
2022-04-08,14,2655
2022-04-09,26,2681
2022-04-10,26,2707
2022-04-11,26,2733
2022-04-12,24,2757
2022-04-13,56,2813
2022-04-14,37,2850
2022-04-15,26,2876
2022-04-16,29,2905
2022-04-17,25,2930
2022-04-18,43,2973
2022-04-19,39,3012
2022-04-20,30,3042
2022-04-21,57,3099
2022-04-22,73,3172
2022-04-23,47,3219
2022-04-24,31,3250
2022-04-25,64,3314
2022-04-26,26,3340
2022-04-27,46,3386
2022-04-28,42,3428
2022-04-29,24,3452
2022-04-30,42,3494
2022-05-01,33,3527
2022-05-02,39,3566
2022-05-03,46,3612
2022-05-04,32,3644
2022-05-05,46,3690
2022-05-06,67,3757
2022-05-07,45,3802
2022-05-08,51,3853
2022-05-09,33,3886
2022-05-10,41,3927
2022-05-11,44,3971
2022-05-12,31,4002
2022-05-13,27,4029
2022-05-14,32,4061
2022-05-15,32,4093
2022-05-16,28,4121
2022-05-17,38,4159
2022-05-18,21,4180
2022-05-19,76,4256
2022-05-20,52,4308
2022-05-21,48,4356
2022-05-22,45,4401
2022-05-23,60,4461
2022-05-24,40,4501
2022-05-25,31,4532
2022-05-26,48,4580
2022-05-27,37,4617
2022-05-28,43,4660
2022-05-29,47,4707
2022-05-30,31,4738
2022-05-31,31,4769
2022-06-01,44,4813
2022-06-02,26,4839
2022-06-03,36,4875
2022-06-04,27,4902
2022-06-05,47,4949
2022-06-06,29,4978
2022-06-07,34,5012
2022-06-08,29,5041
2022-06-09,39,5080
2022-06-10,22,5102
2022-06-11,25,5127
2022-06-12,26,5153
2022-06-13,26,5179
2022-06-14,38,5217
2022-06-15,14,5231
2022-06-16,26,5257
2022-06-17,40,5297
2022-06-18,15,5312
2022-06-19,28,5340
2022-06-20,32,5372
2022-06-21,43,5415
2022-06-22,34,5449
2022-06-23,28,5477
2022-06-24,39,5516
2022-06-25,30,5546
2022-06-26,53,5599
2022-06-27,47,5646
2022-06-28,24,5670
2022-06-29,33,5703
2022-06-30,42,5745
2022-07-01,15,5760
2022-07-02,41,5801
2022-07-03,44,5845
2022-07-04,45,5890
2022-07-05,33,5923
2022-07-06,32,5955
2022-07-07,45,6000
2022-07-08,49,6049
2022-07-09,52,6101
