date,change,total
2022-02-24,111,111
2022-02-25,104,215
2022-02-26,93,308
2022-02-27,104,412
2022-02-28,75,487
2022-03-01,42,529
2022-03-02,54,583
2022-03-03,90,673
2022-03-04,71,744
2022-03-05,98,842
2022-03-06,137,979
2022-03-07,92,1071
2022-03-08,92,1163
2022-03-09,66,1229
2022-03-10,51,1280
2022-03-11,67,1347
2022-03-12,103,1450
2022-03-13,70,1520
2022-03-14,80,1600
2022-03-15,64,1664
2022-03-16,58,1722
2022-03-17,31,1753
2022-03-18,46,1799
2022-03-19,34,1833
2022-03-20,41,1874
2022-03-21,56,1930
2022-03-22,33,1963
2022-03-23,54,2017
2022-03-24,67,2084
2022-03-25,76,2160
2022-03-26,50,2210
2022-03-27,34,2244
2022-03-28,50,2294
2022-03-29,63,2357
2022-03-30,66,2423
2022-03-31,44,2467
2022-04-01,59,2526
2022-04-02,31,2557
2022-04-03,15,2572
2022-04-04,21,2593
2022-04-05,34,2627
2022-04-06,24,2651
2022-04-07,16,2667
2022-04-08,17,2684
2022-04-09,27,2711
2022-04-10,27,2738
2022-04-11,27,2765
2022-04-12,25,2790
2022-04-13,57,2847
2022-04-14,38,2885
2022-04-15,25,2910
2022-04-16,29,2939
2022-04-17,25,2964
2022-04-18,44,3008
2022-04-19,40,3048
2022-04-20,33,3081
2022-04-21,57,3138
2022-04-22,73,3211
2022-04-23,47,3258
2022-04-24,30,3288
2022-04-25,65,3353
2022-04-26,26,3379
2022-04-27,46,3425
2022-04-28,42,3467
2022-04-29,23,3490
2022-04-30,43,3533
2022-05-01,32,3565
2022-05-02,39,3604
2022-05-03,46,3650
2022-05-04,32,3682
2022-05-05,47,3729
2022-05-06,68,3797
2022-05-07,48,3845
2022-05-08,51,3896
2022-05-09,34,3930
2022-05-10,42,3972
2022-05-11,43,4015
2022-05-12,34,4049
2022-05-13,27,4076
2022-05-14,32,4108
2022-05-15,33,4141
2022-05-16,28,4169
2022-05-17,38,4207
2022-05-18,23,4230
2022-05-19,76,4306
2022-05-20,51,4357
2022-05-21,48,4405
2022-05-22,45,4450
2022-05-23,60,4510
2022-05-24,40,4550
2022-05-25,32,4582
2022-05-26,47,4629
2022-05-27,37,4666
2022-05-28,47,4713
2022-05-29,49,4762
2022-05-30,32,4794
2022-05-31,30,4824
2022-06-01,44,4868
2022-06-02,26,4894
2022-06-03,36,4930
2022-06-04,27,4957
2022-06-05,47,5004
2022-06-06,31,5035
2022-06-07,34,5069
2022-06-08,30,5099
2022-06-09,40,5139
2022-06-10,22,5161
2022-06-11,25,5186
2022-06-12,25,5211
2022-06-13,27,5238
2022-06-14,39,5277
2022-06-15,14,5291
2022-06-16,28,5319
2022-06-17,38,5357
2022-06-18,17,5374
2022-06-19,29,5403
2022-06-20,33,5436
2022-06-21,47,5483
2022-06-22,34,5517
2022-06-23,28,5545
2022-06-24,39,5584
2022-06-25,30,5614
2022-06-26,54,5668
2022-06-27,47,5715
2022-06-28,26,5741
2022-06-29,33,5774
2022-06-30,42,5816
2022-07-01,15,5831
2022-07-02,41,5872
2022-07-03,44,5916
2022-07-04,46,5962
