date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,101,402
2022-02-28,71,473
2022-03-01,40,513
2022-03-02,54,567
2022-03-03,90,657
2022-03-04,71,728
2022-03-05,96,824
2022-03-06,135,959
2022-03-07,89,1048
2022-03-08,91,1139
2022-03-09,64,1203
2022-03-10,51,1254
2022-03-11,66,1320
2022-03-12,102,1422
2022-03-13,70,1492
2022-03-14,79,1571
2022-03-15,58,1629
2022-03-16,55,1684
2022-03-17,29,1713
2022-03-18,44,1757
2022-03-19,33,1790
2022-03-20,38,1828
2022-03-21,55,1883
2022-03-22,32,1915
2022-03-23,51,1966
2022-03-24,66,2032
2022-03-25,73,2105
2022-03-26,50,2155
2022-03-27,32,2187
2022-03-28,47,2234
2022-03-29,60,2294
2022-03-30,59,2353
2022-03-31,44,2397
2022-04-01,55,2452
2022-04-02,31,2483
2022-04-03,15,2498
2022-04-04,20,2518
2022-04-05,32,2550
2022-04-06,22,2572
2022-04-07,14,2586
2022-04-08,13,2599
2022-04-09,26,2625
2022-04-10,26,2651
2022-04-11,21,2672
2022-04-12,24,2696
2022-04-13,56,2752
2022-04-14,35,2787
2022-04-15,25,2812
2022-04-16,29,2841
2022-04-17,24,2865
2022-04-18,38,2903
2022-04-19,38,2941
2022-04-20,30,2971
2022-04-21,56,3027
2022-04-22,69,3096
2022-04-23,45,3141
2022-04-24,31,3172
2022-04-25,62,3234
2022-04-26,27,3261
2022-04-27,45,3306
2022-04-28,42,3348
2022-04-29,22,3370
2022-04-30,40,3410
2022-05-01,33,3443
2022-05-02,39,3482
2022-05-03,46,3528
2022-05-04,32,3560
2022-05-05,45,3605
2022-05-06,65,3670
2022-05-07,43,3713
2022-05-08,49,3762
2022-05-09,32,3794
2022-05-10,38,3832
2022-05-11,41,3873
2022-05-12,31,3904
2022-05-13,26,3930
2022-05-14,31,3961
2022-05-15,31,3992
2022-05-16,27,4019
2022-05-17,38,4057
2022-05-18,21,4078
2022-05-19,76,4154
2022-05-20,51,4205
2022-05-21,48,4253
2022-05-22,45,4298
2022-05-23,58,4356
2022-05-24,40,4396
2022-05-25,30,4426
2022-05-26,47,4473
2022-05-27,37,4510
2022-05-28,41,4551
2022-05-29,47,4598
2022-05-30,29,4627
2022-05-31,30,4657
2022-06-01,42,4699
2022-06-02,24,4723
2022-06-03,36,4759
2022-06-04,25,4784
2022-06-05,45,4829
2022-06-06,26,4855
