date,change,total
2022-02-24,111,111
2022-02-25,102,213
2022-02-26,92,305
2022-02-27,103,408
2022-02-28,74,482
2022-03-01,42,524
2022-03-02,56,580
2022-03-03,91,671
2022-03-04,73,744
2022-03-05,97,841
2022-03-06,137,978
2022-03-07,91,1069
2022-03-08,92,1161
2022-03-09,66,1227
2022-03-10,51,1278
2022-03-11,68,1346
2022-03-12,103,1449
2022-03-13,69,1518
2022-03-14,80,1598
2022-03-15,63,1661
2022-03-16,56,1717
2022-03-17,30,1747
2022-03-18,47,1794
2022-03-19,34,1828
2022-03-20,39,1867
2022-03-21,55,1922
2022-03-22,33,1955
2022-03-23,53,2008
2022-03-24,67,2075
2022-03-25,73,2148
2022-03-26,49,2197
2022-03-27,35,2232
2022-03-28,51,2283
2022-03-29,63,2346
2022-03-30,61,2407
2022-03-31,44,2451
2022-04-01,57,2508
2022-04-02,32,2540
2022-04-03,15,2555
2022-04-04,21,2576
2022-04-05,34,2610
2022-04-06,23,2633
2022-04-07,15,2648
2022-04-08,14,2662
2022-04-09,26,2688
2022-04-10,26,2714
2022-04-11,27,2741
2022-04-12,24,2765
2022-04-13,56,2821
2022-04-14,38,2859
2022-04-15,26,2885
2022-04-16,29,2914
2022-04-17,25,2939
2022-04-18,43,2982
2022-04-19,39,3021
2022-04-20,30,3051
2022-04-21,57,3108
2022-04-22,73,3181
2022-04-23,47,3228
2022-04-24,31,3259
2022-04-25,65,3324
2022-04-26,26,3350
2022-04-27,46,3396
2022-04-28,42,3438
2022-04-29,24,3462
2022-04-30,42,3504
2022-05-01,33,3537
2022-05-02,39,3576
2022-05-03,46,3622
2022-05-04,32,3654
2022-05-05,47,3701
2022-05-06,67,3768
2022-05-07,46,3814
2022-05-08,51,3865
2022-05-09,34,3899
2022-05-10,41,3940
2022-05-11,44,3984
2022-05-12,31,4015
2022-05-13,27,4042
2022-05-14,32,4074
2022-05-15,32,4106
2022-05-16,28,4134
2022-05-17,38,4172
2022-05-18,22,4194
2022-05-19,76,4270
2022-05-20,51,4321
2022-05-21,48,4369
2022-05-22,45,4414
2022-05-23,60,4474
2022-05-24,40,4514
2022-05-25,32,4546
2022-05-26,48,4594
2022-05-27,37,4631
2022-05-28,43,4674
2022-05-29,47,4721
2022-05-30,31,4752
2022-05-31,31,4783
2022-06-01,44,4827
2022-06-02,26,4853
2022-06-03,36,4889
2022-06-04,27,4916
2022-06-05,47,4963
2022-06-06,29,4992
2022-06-07,34,5026
2022-06-08,29,5055
2022-06-09,39,5094
2022-06-10,22,5116
2022-06-11,25,5141
2022-06-12,26,5167
2022-06-13,26,5193
2022-06-14,38,5231
2022-06-15,14,5245
2022-06-16,27,5272
2022-06-17,40,5312
2022-06-18,15,5327
2022-06-19,29,5356
2022-06-20,32,5388
2022-06-21,44,5432
2022-06-22,34,5466
2022-06-23,27,5493
2022-06-24,39,5532
2022-06-25,30,5562
2022-06-26,53,5615
2022-06-27,47,5662
2022-06-28,25,5687
2022-06-29,33,5720
2022-06-30,42,5762
2022-07-01,15,5777
2022-07-02,41,5818
2022-07-03,44,5862
2022-07-04,46,5908
2022-07-05,33,5941
2022-07-06,33,5974
2022-07-07,45,6019
2022-07-08,50,6069
2022-07-09,52,6121
