date,change,total
2022-02-24,112,112
2022-02-25,100,212
2022-02-26,92,304
2022-02-27,102,406
2022-02-28,73,479
2022-03-01,41,520
2022-03-02,55,575
2022-03-03,91,666
2022-03-04,71,737
2022-03-05,96,833
2022-03-06,135,968
2022-03-07,91,1059
2022-03-08,92,1151
2022-03-09,65,1216
2022-03-10,51,1267
2022-03-11,67,1334
2022-03-12,102,1436
2022-03-13,69,1505
2022-03-14,79,1584
2022-03-15,60,1644
2022-03-16,56,1700
2022-03-17,30,1730
2022-03-18,46,1776
2022-03-19,34,1810
2022-03-20,38,1848
2022-03-21,55,1903
2022-03-22,33,1936
2022-03-23,52,1988
2022-03-24,67,2055
2022-03-25,73,2128
2022-03-26,49,2177
2022-03-27,35,2212
2022-03-28,50,2262
2022-03-29,63,2325
2022-03-30,59,2384
2022-03-31,44,2428
2022-04-01,57,2485
2022-04-02,32,2517
2022-04-03,15,2532
2022-04-04,21,2553
2022-04-05,33,2586
2022-04-06,22,2608
2022-04-07,15,2623
2022-04-08,14,2637
2022-04-09,26,2663
2022-04-10,26,2689
2022-04-11,25,2714
2022-04-12,24,2738
2022-04-13,56,2794
2022-04-14,36,2830
2022-04-15,25,2855
2022-04-16,29,2884
2022-04-17,25,2909
2022-04-18,42,2951
2022-04-19,38,2989
2022-04-20,30,3019
2022-04-21,56,3075
2022-04-22,73,3148
2022-04-23,46,3194
2022-04-24,31,3225
2022-04-25,64,3289
2022-04-26,26,3315
2022-04-27,46,3361
2022-04-28,42,3403
2022-04-29,23,3426
2022-04-30,42,3468
2022-05-01,33,3501
2022-05-02,39,3540
2022-05-03,46,3586
2022-05-04,32,3618
2022-05-05,46,3664
2022-05-06,66,3730
2022-05-07,45,3775
2022-05-08,50,3825
2022-05-09,33,3858
2022-05-10,41,3899
2022-05-11,43,3942
2022-05-12,31,3973
2022-05-13,26,3999
2022-05-14,32,4031
2022-05-15,31,4062
2022-05-16,27,4089
2022-05-17,38,4127
2022-05-18,21,4148
2022-05-19,76,4224
2022-05-20,52,4276
2022-05-21,48,4324
2022-05-22,45,4369
2022-05-23,58,4427
2022-05-24,40,4467
2022-05-25,30,4497
2022-05-26,47,4544
2022-05-27,37,4581
2022-05-28,43,4624
2022-05-29,47,4671
2022-05-30,30,4701
2022-05-31,31,4732
2022-06-01,43,4775
2022-06-02,25,4800
2022-06-03,36,4836
2022-06-04,27,4863
2022-06-05,47,4910
2022-06-06,28,4938
2022-06-07,34,4972
2022-06-08,29,5001
2022-06-09,39,5040
2022-06-10,22,5062
2022-06-11,25,5087
2022-06-12,26,5113
2022-06-13,26,5139
2022-06-14,37,5176
2022-06-15,14,5190
2022-06-16,26,5216
2022-06-17,40,5256
2022-06-18,15,5271
2022-06-19,28,5299
2022-06-20,32,5331
2022-06-21,43,5374
2022-06-22,34,5408
2022-06-23,27,5435
2022-06-24,38,5473
2022-06-25,30,5503
2022-06-26,54,5557
2022-06-27,47,5604
2022-06-28,24,5628
2022-06-29,33,5661
2022-06-30,40,5701
2022-07-01,15,5716
2022-07-02,40,5756
2022-07-03,44,5800
2022-07-04,45,5845
2022-07-05,33,5878
2022-07-06,31,5909
2022-07-07,45,5954
2022-07-08,49,6003
2022-07-09,52,6055
2022-07-10,24,6079
2022-07-11,16,6095
2022-07-12,19,6114
2022-07-13,32,6146
2022-07-14,19,6165
2022-07-15,20,6185
2022-07-16,31,6216
2022-07-17,28,6244
2022-07-18,24,6268
2022-07-19,52,6320
2022-07-20,44,6364
2022-07-21,23,6387
2022-07-22,48,6435
2022-07-23,26,6461
2022-07-24,14,6475
2022-07-25,21,6496
2022-07-26,6,6502
2022-07-27,19,6521
2022-07-28,9,6530
2022-07-29,16,6546
2022-07-30,25,6571
2022-07-31,11,6582
2022-08-01,18,6600
2022-08-02,14,6614
2022-08-03,11,6625
2022-08-04,44,6669
2022-08-05,15,6684
2022-08-06,29,6713
2022-08-07,22,6735
2022-08-08,23,6758
2022-08-09,13,6771
2022-08-10,28,6799
2022-08-11,16,6815
2022-08-12,26,6841
2022-08-13,30,6871
2022-08-14,30,6901
2022-08-15,31,6932
2022-08-16,44,6976
2022-08-17,32,7008
2022-08-18,18,7026
2022-08-19,19,7045
2022-08-20,26,7071
2022-08-21,30,7101
2022-08-22,19,7120
2022-08-23,34,7154
2022-08-24,30,7184
2022-08-25,19,7203
2022-08-26,19,7222
2022-08-27,33,7255
2022-08-28,28,7283
2022-08-29,89,7372
2022-08-30,29,7401
2022-08-31,44,7445
2022-09-01,45,7490
2022-09-02,52,7542
2022-09-03,41,7583
2022-09-04,53,7636
2022-09-05,37,7673
2022-09-06,58,7731
2022-09-07,83,7814
2022-09-08,56,7870
2022-09-09,43,7913
2022-09-10,48,7961
2022-09-11,45,8006
2022-09-12,57,8063
2022-09-13,44,8107
2022-09-14,37,8144
2022-09-15,30,8174
2022-09-16,48,8222
2022-09-17,56,8278
2022-09-18,29,8307
2022-09-19,43,8350
2022-09-20,52,8402
2022-09-21,37,8439
2022-09-22,66,8505
2022-09-23,33,8538
2022-09-24,79,8617
2022-09-25,86,8703
2022-09-26,79,8782
2022-09-27,49,8831
2022-09-28,70,8901
2022-09-29,62,8963
2022-09-30,82,9045
2022-10-01,91,9136
2022-10-02,52,9188
2022-10-03,54,9242
2022-10-04,92,9334
2022-10-05,106,9440
2022-10-06,65,9505
2022-10-07,72,9577
2022-10-08,57,9634
2022-10-09,58,9692
2022-10-10,53,9745
2022-10-11,47,9792
2022-10-12,84,9876
2022-10-13,57,9933
2022-10-14,73,10006
2022-10-15,90,10096
2022-10-16,35,10131
2022-10-17,45,10176
2022-10-18,63,10239
2022-10-19,87,10326
2022-10-20,70,10396
2022-10-21,39,10435
2022-10-22,76,10511
2022-10-23,64,10575
2022-10-24,151,10726
2022-10-25,79,10805
2022-10-26,42,10847
2022-10-27,74,10921
2022-10-28,50,10971
2022-10-29,87,11058
2022-10-30,82,11140
2022-10-31,63,11203
2022-11-01,111,11314
2022-11-02,88,11402
2022-11-03,69,11471
2022-11-04,84,11555
2022-11-05,72,11627
2022-11-06,97,11724
2022-11-07,71,11795
2022-11-08,85,11880
2022-11-09,69,11949
2022-11-10,68,12017
2022-11-11,82,12099
2022-11-12,104,12203
2022-11-13,76,12279
2022-11-14,75,12354
2022-11-15,49,12403
2022-11-16,73,12476
2022-11-17,90,12566
2022-11-18,90,12656
2022-11-19,73,12729
2022-11-20,70,12799
2022-11-21,60,12859
2022-11-22,63,12922
2022-11-23,57,12979
2022-11-24,79,13058
2022-11-25,84,13142
2022-11-26,61,13203
2022-11-27,73,13276
2022-11-28,49,13325
2022-11-29,59,13384
2022-11-30,63,13447
2022-12-01,123,13570
2022-12-02,168,13738
2022-12-03,107,13845
2022-12-04,96,13941
2022-12-05,104,14045
2022-12-06,102,14147
2022-12-07,86,14233
2022-12-08,132,14365
2022-12-09,57,14422
2022-12-10,53,14475
2022-12-11,94,14569
2022-12-12,111,14680
2022-12-13,71,14751
2022-12-14,79,14830
2022-12-15,95,14925
2022-12-16,82,15007
2022-12-17,55,15062
2022-12-18,67,15129
2022-12-19,59,15188
2022-12-20,111,15299
2022-12-21,95,15394
2022-12-22,104,15498
2022-12-23,55,15553
2022-12-24,83,15636
2022-12-25,95,15731
2022-12-26,78,15809
2022-12-27,76,15885
2022-12-28,88,15973
2022-12-29,81,16054
2022-12-30,86,16140
2022-12-31,93,16233
2023-01-01,236,16469
2023-01-02,94,16563
2023-01-03,107,16670
2023-01-04,120,16790
2023-01-05,131,16921
2023-01-06,121,17042
2023-01-07,135,17177
2023-01-08,108,17285
2023-01-09,109,17394
2023-01-10,120,17514
2023-01-11,87,17601
2023-01-12,144,17745
2023-01-13,88,17833
2023-01-14,151,17984
2023-01-15,125,18109
2023-01-16,125,18234
2023-01-17,111,18345
2023-01-18,119,18464
2023-01-19,124,18588
2023-01-20,107,18695
2023-01-21,113,18808
2023-01-22,63,18871
2023-01-23,96,18967
2023-01-24,163,19130
2023-01-25,132,19262
2023-01-26,123,19385
2023-01-27,118,19503
2023-01-28,131,19634
2023-01-29,103,19737
2023-01-30,131,19868
2023-01-31,129,19997
2023-02-01,179,20176
2023-02-02,142,20318
2023-02-03,115,20433
2023-02-04,119,20552
2023-02-05,106,20658
2023-02-06,184,20842
2023-02-07,177,21019
2023-02-08,146,21165
2023-02-09,129,21294
2023-02-10,82,21376
2023-02-11,129,21505
2023-02-12,74,21579
2023-02-13,103,21682
2023-02-14,84,21766
2023-02-15,103,21869
2023-02-16,97,21966
2023-02-17,128,22094
2023-02-18,119,22213
2023-02-19,87,22300
2023-02-20,86,22386
2023-02-21,103,22489
2023-02-22,95,22584
2023-02-23,109,22693
2023-02-24,116,22809
2023-02-25,97,22906
2023-02-26,76,22982
2023-02-27,75,23057
2023-02-28,131,23188
2023-03-01,119,23307
2023-03-02,99,23406
2023-03-03,106,23512
2023-03-04,112,23624
2023-03-05,123,23747
2023-03-06,122,23869
2023-03-07,111,23980
2023-03-08,105,24085
2023-03-09,83,24168
2023-03-10,101,24269
2023-03-11,96,24365
2023-03-12,126,24491
2023-03-13,87,24578
2023-03-14,114,24692
2023-03-15,126,24818
2023-03-16,93,24911
2023-03-17,93,25004
2023-03-18,118,25122
2023-03-19,117,25239
2023-03-20,125,25364
2023-03-21,120,25484
2023-03-22,87,25571
2023-03-23,151,25722
2023-03-24,134,25856
2023-03-25,114,25970
2023-03-26,82,26052
2023-03-27,71,26123
2023-03-28,67,26190
2023-03-29,61,26251
2023-03-30,95,26346
2023-03-31,67,26413
2023-04-01,80,26493
2023-04-02,89,26582
2023-04-03,69,26651
2023-04-04,73,26724
2023-04-05,52,26776
2023-04-06,70,26846
2023-04-07,88,26934
2023-04-08,68,27002
2023-04-09,67,27069
2023-04-10,90,27159
2023-04-11,78,27237
2023-04-12,51,27288
2023-04-13,45,27333
2023-04-14,51,27384
2023-04-15,60,27444
2023-04-16,53,27497
2023-04-17,73,27570
2023-04-18,50,27620
2023-04-19,62,27682
2023-04-20,70,27752
2023-04-21,79,27831
2023-04-22,64,27895
2023-04-23,64,27959
2023-04-24,84,28043
2023-04-25,49,28092
2023-04-26,51,28143
2023-04-27,54,28197
2023-04-28,71,28268
2023-04-29,52,28320
2023-04-30,67,28387
2023-05-01,54,28441
2023-05-02,45,28486
2023-05-03,71,28557
2023-05-04,78,28635
2023-05-05,74,28709
2023-05-06,51,28760
2023-05-07,68,28828
2023-05-08,77,28905
2023-05-09,82,28987
2023-05-10,92,29079
2023-05-11,74,29153
2023-05-12,117,29270
2023-05-13,111,29381
2023-05-14,61,29442
2023-05-15,53,29495
2023-05-16,84,29579
2023-05-17,70,29649
2023-05-18,65,29714
2023-05-19,58,29772
2023-05-20,72,29844
2023-05-21,51,29895
2023-05-22,65,29960
2023-05-23,68,30028
2023-05-24,47,30075
2023-05-25,37,30112
2023-05-26,44,30156
