date,change,total
2022-02-24,113,113
2022-02-25,107,220
2022-02-26,93,313
2022-02-27,107,420
2022-02-28,75,495
2022-03-01,43,538
2022-03-02,54,592
2022-03-03,96,688
2022-03-04,73,761
2022-03-05,100,861
2022-03-06,141,1002
2022-03-07,99,1101
2022-03-08,94,1195
2022-03-09,66,1261
2022-03-10,52,1313
2022-03-11,70,1383
2022-03-12,103,1486
2022-03-13,74,1560
2022-03-14,81,1641
2022-03-15,62,1703
2022-03-16,63,1766
2022-03-17,34,1800
2022-03-18,47,1847
2022-03-19,34,1881
2022-03-20,41,1922
2022-03-21,54,1976
2022-03-22,34,2010
2022-03-23,56,2066
2022-03-24,69,2135
2022-03-25,79,2214
2022-03-26,57,2271
2022-03-27,37,2308
2022-03-28,50,2358
2022-03-29,62,2420
2022-03-30,71,2491
2022-03-31,42,2533
2022-04-01,65,2598
2022-04-02,32,2630
2022-04-03,15,2645
2022-04-04,21,2666
2022-04-05,37,2703
2022-04-06,26,2729
2022-04-07,17,2746
2022-04-08,18,2764
2022-04-09,28,2792
2022-04-10,30,2822
2022-04-11,26,2848
2022-04-12,27,2875
2022-04-13,57,2932
2022-04-14,44,2976
2022-04-15,28,3004
2022-04-16,30,3034
2022-04-17,23,3057
2022-04-18,44,3101
2022-04-19,39,3140
2022-04-20,34,3174
2022-04-21,57,3231
2022-04-22,74,3305
2022-04-23,51,3356
2022-04-24,33,3389
2022-04-25,66,3455
2022-04-26,28,3483
2022-04-27,47,3530
2022-04-28,43,3573
2022-04-29,23,3596
2022-04-30,45,3641
2022-05-01,35,3676
2022-05-02,43,3719
2022-05-03,47,3766
2022-05-04,31,3797
2022-05-05,49,3846
2022-05-06,73,3919
2022-05-07,47,3966
2022-05-08,50,4016
2022-05-09,35,4051
2022-05-10,44,4095
2022-05-11,43,4138
2022-05-12,34,4172
2022-05-13,29,4201
2022-05-14,34,4235
2022-05-15,33,4268
2022-05-16,29,4297
2022-05-17,40,4337
2022-05-18,24,4361
2022-05-19,80,4441
2022-05-20,53,4494
2022-05-21,49,4543
2022-05-22,44,4587
2022-05-23,62,4649
2022-05-24,41,4690
2022-05-25,35,4725
2022-05-26,45,4770
2022-05-27,38,4808
2022-05-28,49,4857
2022-05-29,50,4907
2022-05-30,33,4940
2022-05-31,32,4972
2022-06-01,47,5019
2022-06-02,28,5047
2022-06-03,39,5086
2022-06-04,29,5115
2022-06-05,47,5162
2022-06-06,33,5195
2022-06-07,33,5228
2022-06-08,28,5256
2022-06-09,43,5299
2022-06-10,22,5321
2022-06-11,26,5347
2022-06-12,24,5371
2022-06-13,27,5398
2022-06-14,39,5437
2022-06-15,15,5452
2022-06-16,29,5481
2022-06-17,41,5522
2022-06-18,23,5545
2022-06-19,31,5576
2022-06-20,39,5615
2022-06-21,47,5662
2022-06-22,35,5697
2022-06-23,31,5728
2022-06-24,43,5771
2022-06-25,33,5804
2022-06-26,57,5861
2022-06-27,48,5909
2022-06-28,27,5936
2022-06-29,36,5972
2022-06-30,45,6017
2022-07-01,16,6033
2022-07-02,42,6075
2022-07-03,46,6121
2022-07-04,47,6168
2022-07-05,31,6199
2022-07-06,33,6232
2022-07-07,47,6279
2022-07-08,53,6332
2022-07-09,50,6382
2022-07-10,24,6406
2022-07-11,18,6424
2022-07-12,22,6446
2022-07-13,33,6479
2022-07-14,23,6502
2022-07-15,21,6523
2022-07-16,34,6557
2022-07-17,32,6589
2022-07-18,29,6618
2022-07-19,54,6672
2022-07-20,48,6720
2022-07-21,24,6744
2022-07-22,50,6794
2022-07-23,29,6823
2022-07-24,15,6838
2022-07-25,26,6864
2022-07-26,7,6871
2022-07-27,21,6892
2022-07-28,10,6902
2022-07-29,19,6921
2022-07-30,26,6947
2022-07-31,12,6959
2022-08-01,20,6979
2022-08-02,13,6992
2022-08-03,13,7005
2022-08-04,44,7049
2022-08-05,18,7067
2022-08-06,30,7097
2022-08-07,23,7120
2022-08-08,25,7145
2022-08-09,14,7159
2022-08-10,27,7186
2022-08-11,17,7203
2022-08-12,29,7232
2022-08-13,32,7264
2022-08-14,37,7301
2022-08-15,31,7332
2022-08-16,50,7382
2022-08-17,34,7416
2022-08-18,22,7438
2022-08-19,22,7460
2022-08-20,25,7485
2022-08-21,34,7519
2022-08-22,19,7538
2022-08-23,37,7575
2022-08-24,32,7607
2022-08-25,19,7626
2022-08-26,20,7646
2022-08-27,34,7680
2022-08-28,31,7711
2022-08-29,99,7810
2022-08-30,36,7846
2022-08-31,50,7896
2022-09-01,47,7943
2022-09-02,53,7996
2022-09-03,42,8038
2022-09-04,58,8096
2022-09-05,41,8137
2022-09-06,62,8199
2022-09-07,85,8284
2022-09-08,64,8348
2022-09-09,54,8402
2022-09-10,54,8456
2022-09-11,51,8507
2022-09-12,59,8566
