date,change,total
2022-02-24,111,111
2022-02-25,104,215
2022-02-26,93,308
2022-02-27,105,413
2022-02-28,75,488
2022-03-01,42,530
2022-03-02,55,585
2022-03-03,91,676
2022-03-04,72,748
2022-03-05,98,846
2022-03-06,137,983
2022-03-07,95,1078
2022-03-08,93,1171
2022-03-09,66,1237
2022-03-10,51,1288
2022-03-11,69,1357
2022-03-12,103,1460
2022-03-13,70,1530
2022-03-14,80,1610
2022-03-15,65,1675
2022-03-16,59,1734
2022-03-17,34,1768
2022-03-18,46,1814
2022-03-19,34,1848
2022-03-20,41,1889
2022-03-21,55,1944
2022-03-22,34,1978
2022-03-23,54,2032
2022-03-24,67,2099
2022-03-25,76,2175
2022-03-26,52,2227
2022-03-27,35,2262
2022-03-28,51,2313
2022-03-29,63,2376
2022-03-30,66,2442
2022-03-31,44,2486
2022-04-01,60,2546
2022-04-02,31,2577
2022-04-03,15,2592
2022-04-04,21,2613
2022-04-05,34,2647
2022-04-06,26,2673
2022-04-07,16,2689
2022-04-08,17,2706
2022-04-09,27,2733
2022-04-10,27,2760
2022-04-11,28,2788
2022-04-12,27,2815
2022-04-13,57,2872
2022-04-14,41,2913
2022-04-15,25,2938
2022-04-16,29,2967
2022-04-17,24,2991
2022-04-18,44,3035
2022-04-19,40,3075
2022-04-20,33,3108
2022-04-21,57,3165
2022-04-22,72,3237
2022-04-23,48,3285
2022-04-24,31,3316
2022-04-25,65,3381
2022-04-26,27,3408
2022-04-27,47,3455
2022-04-28,42,3497
2022-04-29,23,3520
2022-04-30,44,3564
2022-05-01,34,3598
2022-05-02,39,3637
2022-05-03,46,3683
2022-05-04,32,3715
2022-05-05,47,3762
2022-05-06,68,3830
2022-05-07,49,3879
2022-05-08,51,3930
2022-05-09,34,3964
2022-05-10,42,4006
2022-05-11,43,4049
2022-05-12,34,4083
2022-05-13,28,4111
2022-05-14,32,4143
2022-05-15,33,4176
2022-05-16,28,4204
2022-05-17,38,4242
2022-05-18,23,4265
2022-05-19,76,4341
2022-05-20,52,4393
2022-05-21,48,4441
2022-05-22,46,4487
2022-05-23,60,4547
2022-05-24,40,4587
2022-05-25,32,4619
2022-05-26,47,4666
2022-05-27,37,4703
2022-05-28,48,4751
2022-05-29,49,4800
2022-05-30,32,4832
2022-05-31,30,4862
2022-06-01,45,4907
2022-06-02,26,4933
2022-06-03,36,4969
2022-06-04,28,4997
2022-06-05,47,5044
2022-06-06,31,5075
2022-06-07,34,5109
2022-06-08,30,5139
2022-06-09,40,5179
2022-06-10,22,5201
2022-06-11,25,5226
2022-06-12,25,5251
2022-06-13,27,5278
2022-06-14,39,5317
2022-06-15,14,5331
2022-06-16,28,5359
2022-06-17,39,5398
2022-06-18,17,5415
2022-06-19,29,5444
2022-06-20,35,5479
2022-06-21,47,5526
2022-06-22,34,5560
2022-06-23,29,5589
2022-06-24,39,5628
2022-06-25,31,5659
2022-06-26,54,5713
2022-06-27,47,5760
2022-06-28,26,5786
2022-06-29,33,5819
2022-06-30,43,5862
2022-07-01,15,5877
2022-07-02,41,5918
2022-07-03,44,5962
2022-07-04,47,6009
