date,change,total
2022-02-24,111,111
2022-02-25,102,213
2022-02-26,93,306
2022-02-27,104,410
2022-02-28,75,485
2022-03-01,42,527
2022-03-02,54,581
2022-03-03,91,672
2022-03-04,73,745
2022-03-05,97,842
2022-03-06,136,978
2022-03-07,91,1069
2022-03-08,92,1161
2022-03-09,66,1227
2022-03-10,51,1278
2022-03-11,68,1346
2022-03-12,103,1449
2022-03-13,69,1518
2022-03-14,80,1598
2022-03-15,64,1662
2022-03-16,56,1718
2022-03-17,30,1748
2022-03-18,46,1794
2022-03-19,34,1828
2022-03-20,39,1867
2022-03-21,55,1922
2022-03-22,33,1955
2022-03-23,52,2007
2022-03-24,67,2074
2022-03-25,73,2147
2022-03-26,49,2196
2022-03-27,35,2231
2022-03-28,50,2281
2022-03-29,63,2344
2022-03-30,61,2405
2022-03-31,44,2449
2022-04-01,56,2505
2022-04-02,31,2536
2022-04-03,15,2551
2022-04-04,21,2572
2022-04-05,34,2606
2022-04-06,23,2629
2022-04-07,15,2644
2022-04-08,14,2658
2022-04-09,27,2685
2022-04-10,26,2711
2022-04-11,26,2737
2022-04-12,24,2761
2022-04-13,56,2817
2022-04-14,38,2855
2022-04-15,25,2880
2022-04-16,29,2909
2022-04-17,25,2934
2022-04-18,43,2977
2022-04-19,40,3017
2022-04-20,31,3048
2022-04-21,57,3105
2022-04-22,73,3178
2022-04-23,47,3225
2022-04-24,31,3256
2022-04-25,65,3321
2022-04-26,26,3347
2022-04-27,46,3393
2022-04-28,42,3435
2022-04-29,23,3458
2022-04-30,43,3501
2022-05-01,32,3533
2022-05-02,39,3572
2022-05-03,46,3618
2022-05-04,32,3650
2022-05-05,47,3697
2022-05-06,67,3764
2022-05-07,46,3810
2022-05-08,51,3861
2022-05-09,34,3895
2022-05-10,42,3937
2022-05-11,43,3980
2022-05-12,31,4011
2022-05-13,27,4038
2022-05-14,32,4070
2022-05-15,32,4102
2022-05-16,28,4130
2022-05-17,38,4168
2022-05-18,22,4190
2022-05-19,76,4266
2022-05-20,51,4317
2022-05-21,48,4365
2022-05-22,45,4410
2022-05-23,60,4470
2022-05-24,40,4510
2022-05-25,32,4542
2022-05-26,47,4589
2022-05-27,37,4626
2022-05-28,44,4670
2022-05-29,47,4717
2022-05-30,31,4748
2022-05-31,31,4779
2022-06-01,44,4823
2022-06-02,26,4849
2022-06-03,36,4885
2022-06-04,26,4911
2022-06-05,47,4958
2022-06-06,29,4987
2022-06-07,34,5021
2022-06-08,29,5050
2022-06-09,39,5089
2022-06-10,22,5111
2022-06-11,25,5136
2022-06-12,25,5161
2022-06-13,26,5187
2022-06-14,38,5225
2022-06-15,14,5239
2022-06-16,27,5266
2022-06-17,40,5306
2022-06-18,15,5321
2022-06-19,29,5350
2022-06-20,32,5382
2022-06-21,44,5426
2022-06-22,34,5460
2022-06-23,27,5487
2022-06-24,39,5526
2022-06-25,30,5556
2022-06-26,53,5609
2022-06-27,47,5656
2022-06-28,26,5682
2022-06-29,33,5715
2022-06-30,42,5757
2022-07-01,15,5772
2022-07-02,40,5812
2022-07-03,44,5856
2022-07-04,46,5902
2022-07-05,33,5935
2022-07-06,32,5967
2022-07-07,46,6013
2022-07-08,50,6063
2022-07-09,52,6115
