date,change,total
2022-02-24,112,112
2022-02-25,98,210
2022-02-26,89,299
2022-02-27,100,399
2022-02-28,71,470
2022-03-01,39,509
2022-03-02,52,561
2022-03-03,89,650
2022-03-04,71,721
2022-03-05,95,816
2022-03-06,134,950
2022-03-07,85,1035
2022-03-08,90,1125
2022-03-09,64,1189
2022-03-10,51,1240
2022-03-11,66,1306
2022-03-12,99,1405
2022-03-13,67,1472
2022-03-14,79,1551
2022-03-15,59,1610
2022-03-16,54,1664
2022-03-17,28,1692
2022-03-18,44,1736
2022-03-19,33,1769
2022-03-20,37,1806
2022-03-21,52,1858
2022-03-22,28,1886
2022-03-23,52,1938
2022-03-24,65,2003
2022-03-25,71,2074
2022-03-26,49,2123
2022-03-27,32,2155
2022-03-28,47,2202
2022-03-29,58,2260
2022-03-30,58,2318
2022-03-31,45,2363
2022-04-01,55,2418
2022-04-02,31,2449
2022-04-03,14,2463
2022-04-04,19,2482
2022-04-05,30,2512
2022-04-06,22,2534
2022-04-07,14,2548
2022-04-08,13,2561
2022-04-09,25,2586
2022-04-10,26,2612
2022-04-11,20,2632
2022-04-12,24,2656
2022-04-13,49,2705
2022-04-14,37,2742
2022-04-15,25,2767
2022-04-16,29,2796
2022-04-17,23,2819
2022-04-18,38,2857
2022-04-19,38,2895
2022-04-20,30,2925
2022-04-21,54,2979
2022-04-22,69,3048
2022-04-23,42,3090
2022-04-24,29,3119
2022-04-25,59,3178
2022-04-26,26,3204
2022-04-27,45,3249
2022-04-28,42,3291
2022-04-29,22,3313
2022-04-30,40,3353
2022-05-01,32,3385
2022-05-02,39,3424
2022-05-03,46,3470
2022-05-04,32,3502
2022-05-05,43,3545
2022-05-06,63,3608
2022-05-07,43,3651
2022-05-08,48,3699
2022-05-09,32,3731
2022-05-10,37,3768
2022-05-11,39,3807
2022-05-12,29,3836
2022-05-13,26,3862
2022-05-14,31,3893
2022-05-15,30,3923
2022-05-16,27,3950
2022-05-17,38,3988
2022-05-18,21,4009
2022-05-19,76,4085
2022-05-20,50,4135
2022-05-21,46,4181
2022-05-22,43,4224
2022-05-23,56,4280
2022-05-24,40,4320
2022-05-25,30,4350
2022-05-26,46,4396
2022-05-27,38,4434
2022-05-28,41,4475
2022-05-29,46,4521
2022-05-30,27,4548
2022-05-31,30,4578
2022-06-01,42,4620
2022-06-02,24,4644
2022-06-03,36,4680
2022-06-04,25,4705
2022-06-05,43,4748
2022-06-06,25,4773
2022-06-07,34,4807
2022-06-08,27,4834
2022-06-09,36,4870
2022-06-10,21,4891
2022-06-11,24,4915
2022-06-12,24,4939
2022-06-13,23,4962
2022-06-14,36,4998
2022-06-15,12,5010
2022-06-16,25,5035
2022-06-17,38,5073
2022-06-18,14,5087
2022-06-19,27,5114
2022-06-20,30,5144
2022-06-21,41,5185
2022-06-22,34,5219
2022-06-23,24,5243
2022-06-24,37,5280
2022-06-25,29,5309
2022-06-26,51,5360
2022-06-27,46,5406
2022-06-28,24,5430
2022-06-29,28,5458
2022-06-30,41,5499
2022-07-01,14,5513
2022-07-02,40,5553
2022-07-03,43,5596
2022-07-04,43,5639
2022-07-05,31,5670
2022-07-06,31,5701
2022-07-07,43,5744
2022-07-08,49,5793
2022-07-09,51,5844
2022-07-10,23,5867
2022-07-11,15,5882
2022-07-12,18,5900
2022-07-13,32,5932
2022-07-14,18,5950
2022-07-15,16,5966
2022-07-16,30,5996
2022-07-17,26,6022
2022-07-18,24,6046
2022-07-19,50,6096
2022-07-20,44,6140
2022-07-21,22,6162
2022-07-22,47,6209
2022-07-23,25,6234
2022-07-24,12,6246
2022-07-25,21,6267
2022-07-26,4,6271
2022-07-27,17,6288
2022-07-28,9,6297
2022-07-29,15,6312
2022-07-30,25,6337
2022-07-31,11,6348
2022-08-01,17,6365
2022-08-02,11,6376
2022-08-03,11,6387
2022-08-04,43,6430
2022-08-05,14,6444
2022-08-06,29,6473
2022-08-07,23,6496
2022-08-08,21,6517
2022-08-09,12,6529
2022-08-10,23,6552
2022-08-11,15,6567
2022-08-12,25,6592
2022-08-13,29,6621
2022-08-14,28,6649
2022-08-15,31,6680
2022-08-16,42,6722
2022-08-17,32,6754
2022-08-18,16,6770
2022-08-19,19,6789
2022-08-20,23,6812
2022-08-21,28,6840
2022-08-22,17,6857
2022-08-23,31,6888
2022-08-24,28,6916
2022-08-25,17,6933
2022-08-26,18,6951
2022-08-27,29,6980
2022-08-28,23,7003
2022-08-29,84,7087
2022-08-30,26,7113
2022-08-31,42,7155
2022-09-01,40,7195
2022-09-02,51,7246
2022-09-03,40,7286
2022-09-04,53,7339
2022-09-05,35,7374
2022-09-06,53,7427
2022-09-07,80,7507
2022-09-08,53,7560
2022-09-09,35,7595
2022-09-10,45,7640
2022-09-11,35,7675
2022-09-12,56,7731
2022-09-13,39,7770
2022-09-14,34,7804
2022-09-15,26,7830
2022-09-16,42,7872
2022-09-17,54,7926
2022-09-18,27,7953
2022-09-19,43,7996
2022-09-20,48,8044
2022-09-21,33,8077
2022-09-22,61,8138
2022-09-23,32,8170
2022-09-24,74,8244
2022-09-25,80,8324
2022-09-26,73,8397
2022-09-27,47,8444
2022-09-28,66,8510
2022-09-29,59,8569
2022-09-30,79,8648
2022-10-01,83,8731
2022-10-02,43,8774
2022-10-03,48,8822
2022-10-04,81,8903
2022-10-05,101,9004
2022-10-06,58,9062
2022-10-07,68,9130
2022-10-08,52,9182
2022-10-09,54,9236
2022-10-10,45,9281
2022-10-11,47,9328
2022-10-12,68,9396
2022-10-13,48,9444
2022-10-14,61,9505
2022-10-15,82,9587
2022-10-16,34,9621
2022-10-17,39,9660
2022-10-18,58,9718
2022-10-19,82,9800
2022-10-20,59,9859
2022-10-21,34,9893
2022-10-22,66,9959
2022-10-23,58,10017
2022-10-24,139,10156
2022-10-25,62,10218
2022-10-26,35,10253
2022-10-27,58,10311
2022-10-28,43,10354
2022-10-29,70,10424
2022-10-30,70,10494
2022-10-31,61,10555
2022-11-01,96,10651
2022-11-02,72,10723
2022-11-03,58,10781
2022-11-04,76,10857
2022-11-05,58,10915
2022-11-06,81,10996
2022-11-07,61,11057
2022-11-08,74,11131
2022-11-09,58,11189
2022-11-10,56,11245
2022-11-11,71,11316
2022-11-12,87,11403
2022-11-13,61,11464
2022-11-14,66,11530
2022-11-15,41,11571
2022-11-16,56,11627
2022-11-17,64,11691
2022-11-18,70,11761
2022-11-19,56,11817
2022-11-20,59,11876
2022-11-21,44,11920
2022-11-22,46,11966
2022-11-23,41,12007
2022-11-24,61,12068
2022-11-25,60,12128
2022-11-26,47,12175
2022-11-27,49,12224
2022-11-28,39,12263
2022-11-29,41,12304
2022-11-30,42,12346
2022-12-01,90,12436
2022-12-02,131,12567
2022-12-03,74,12641
2022-12-04,73,12714
2022-12-05,83,12797
2022-12-06,71,12868
2022-12-07,74,12942
2022-12-08,100,13042
2022-12-09,45,13087
2022-12-10,43,13130
2022-12-11,82,13212
2022-12-12,82,13294
2022-12-13,55,13349
2022-12-14,73,13422
2022-12-15,82,13504
2022-12-16,64,13568
2022-12-17,44,13612
2022-12-18,51,13663
2022-12-19,42,13705
2022-12-20,98,13803
2022-12-21,80,13883
2022-12-22,92,13975
2022-12-23,43,14018
2022-12-24,68,14086
2022-12-25,77,14163
2022-12-26,62,14225
2022-12-27,67,14292
2022-12-28,69,14361
2022-12-29,66,14427
2022-12-30,75,14502
2022-12-31,78,14580
2023-01-01,216,14796
2023-01-02,81,14877
2023-01-03,87,14964
2023-01-04,94,15058
2023-01-05,115,15173
2023-01-06,97,15270
2023-01-07,103,15373
2023-01-08,83,15456
2023-01-09,85,15541
2023-01-10,92,15633
2023-01-11,66,15699
2023-01-12,123,15822
2023-01-13,74,15896
2023-01-14,125,16021
2023-01-15,103,16124
2023-01-16,106,16230
2023-01-17,97,16327
2023-01-18,96,16423
2023-01-19,106,16529
2023-01-20,91,16620
2023-01-21,96,16716
2023-01-22,50,16766
2023-01-23,75,16841
2023-01-24,137,16978
2023-01-25,112,17090
2023-01-26,110,17200
2023-01-27,93,17293
2023-01-28,113,17406
2023-01-29,80,17486
2023-01-30,107,17593
2023-01-31,103,17696
2023-02-01,150,17846
2023-02-02,122,17968
2023-02-03,99,18067
2023-02-04,91,18158
2023-02-05,87,18245
2023-02-06,159,18404
2023-02-07,154,18558
2023-02-08,124,18682
2023-02-09,100,18782
2023-02-10,66,18848
2023-02-11,111,18959
2023-02-12,68,19027
2023-02-13,88,19115
2023-02-14,73,19188
2023-02-15,90,19278
2023-02-16,81,19359
2023-02-17,105,19464
2023-02-18,100,19564
2023-02-19,72,19636
2023-02-20,80,19716
2023-02-21,83,19799
