date,change,total
2022-02-24,112,112
2022-02-25,106,218
2022-02-26,93,311
2022-02-27,106,417
2022-02-28,75,492
2022-03-01,43,535
2022-03-02,55,590
2022-03-03,92,682
2022-03-04,73,755
2022-03-05,98,853
2022-03-06,139,992
2022-03-07,96,1088
2022-03-08,94,1182
2022-03-09,66,1248
2022-03-10,51,1299
2022-03-11,70,1369
2022-03-12,103,1472
2022-03-13,70,1542
2022-03-14,80,1622
2022-03-15,65,1687
2022-03-16,61,1748
2022-03-17,35,1783
2022-03-18,46,1829
2022-03-19,34,1863
2022-03-20,43,1906
2022-03-21,56,1962
2022-03-22,34,1996
2022-03-23,56,2052
2022-03-24,67,2119
2022-03-25,76,2195
2022-03-26,56,2251
2022-03-27,35,2286
2022-03-28,51,2337
2022-03-29,61,2398
2022-03-30,68,2466
2022-03-31,43,2509
2022-04-01,61,2570
2022-04-02,31,2601
2022-04-03,15,2616
2022-04-04,21,2637
2022-04-05,35,2672
2022-04-06,26,2698
2022-04-07,16,2714
2022-04-08,17,2731
2022-04-09,27,2758
2022-04-10,27,2785
2022-04-11,28,2813
2022-04-12,27,2840
2022-04-13,57,2897
2022-04-14,44,2941
2022-04-15,27,2968
2022-04-16,29,2997
2022-04-17,24,3021
2022-04-18,44,3065
2022-04-19,41,3106
2022-04-20,34,3140
2022-04-21,57,3197
2022-04-22,72,3269
2022-04-23,48,3317
2022-04-24,32,3349
2022-04-25,66,3415
2022-04-26,27,3442
2022-04-27,47,3489
2022-04-28,42,3531
2022-04-29,23,3554
2022-04-30,43,3597
2022-05-01,34,3631
2022-05-02,42,3673
2022-05-03,46,3719
2022-05-04,32,3751
2022-05-05,46,3797
2022-05-06,72,3869
2022-05-07,48,3917
2022-05-08,51,3968
2022-05-09,34,4002
2022-05-10,43,4045
2022-05-11,43,4088
2022-05-12,36,4124
2022-05-13,28,4152
2022-05-14,32,4184
2022-05-15,33,4217
2022-05-16,28,4245
2022-05-17,38,4283
2022-05-18,24,4307
