date,change,total
2022-02-24,113,113
2022-02-25,106,219
2022-02-26,93,312
2022-02-27,107,419
2022-02-28,75,494
2022-03-01,43,537
2022-03-02,54,591
2022-03-03,96,687
2022-03-04,72,759
2022-03-05,99,858
2022-03-06,140,998
2022-03-07,99,1097
2022-03-08,94,1191
2022-03-09,66,1257
2022-03-10,52,1309
2022-03-11,70,1379
2022-03-12,103,1482
2022-03-13,72,1554
2022-03-14,81,1635
2022-03-15,62,1697
2022-03-16,62,1759
2022-03-17,34,1793
2022-03-18,47,1840
2022-03-19,34,1874
2022-03-20,42,1916
2022-03-21,56,1972
2022-03-22,34,2006
2022-03-23,55,2061
2022-03-24,70,2131
2022-03-25,78,2209
2022-03-26,56,2265
2022-03-27,36,2301
2022-03-28,50,2351
2022-03-29,62,2413
2022-03-30,68,2481
2022-03-31,44,2525
2022-04-01,65,2590
2022-04-02,31,2621
2022-04-03,15,2636
2022-04-04,22,2658
2022-04-05,36,2694
2022-04-06,26,2720
2022-04-07,17,2737
2022-04-08,17,2754
2022-04-09,28,2782
2022-04-10,29,2811
2022-04-11,26,2837
2022-04-12,27,2864
2022-04-13,57,2921
2022-04-14,44,2965
2022-04-15,26,2991
2022-04-16,30,3021
2022-04-17,24,3045
2022-04-18,43,3088
2022-04-19,41,3129
2022-04-20,34,3163
2022-04-21,57,3220
2022-04-22,73,3293
2022-04-23,50,3343
2022-04-24,33,3376
2022-04-25,66,3442
2022-04-26,27,3469
2022-04-27,47,3516
2022-04-28,43,3559
2022-04-29,23,3582
2022-04-30,43,3625
2022-05-01,35,3660
2022-05-02,43,3703
2022-05-03,46,3749
2022-05-04,31,3780
2022-05-05,47,3827
2022-05-06,73,3900
2022-05-07,47,3947
2022-05-08,50,3997
2022-05-09,34,4031
2022-05-10,43,4074
2022-05-11,43,4117
2022-05-12,36,4153
2022-05-13,28,4181
2022-05-14,34,4215
2022-05-15,33,4248
2022-05-16,29,4277
2022-05-17,38,4315
2022-05-18,24,4339
2022-05-19,79,4418
2022-05-20,52,4470
2022-05-21,48,4518
2022-05-22,45,4563
2022-05-23,62,4625
2022-05-24,41,4666
2022-05-25,35,4701
2022-05-26,46,4747
2022-05-27,37,4784
2022-05-28,48,4832
2022-05-29,50,4882
2022-05-30,33,4915
2022-05-31,32,4947
2022-06-01,47,4994
2022-06-02,27,5021
2022-06-03,37,5058
2022-06-04,28,5086
2022-06-05,47,5133
2022-06-06,32,5165
2022-06-07,33,5198
2022-06-08,29,5227
2022-06-09,42,5269
2022-06-10,22,5291
2022-06-11,25,5316
2022-06-12,25,5341
2022-06-13,27,5368
2022-06-14,39,5407
2022-06-15,15,5422
2022-06-16,29,5451
2022-06-17,40,5491
2022-06-18,21,5512
2022-06-19,31,5543
2022-06-20,38,5581
2022-06-21,47,5628
2022-06-22,35,5663
2022-06-23,32,5695
2022-06-24,43,5738
2022-06-25,34,5772
2022-06-26,56,5828
2022-06-27,48,5876
2022-06-28,27,5903
2022-06-29,35,5938
2022-06-30,44,5982
2022-07-01,15,5997
2022-07-02,42,6039
2022-07-03,44,6083
2022-07-04,48,6131
2022-07-05,32,6163
2022-07-06,33,6196
2022-07-07,47,6243
2022-07-08,52,6295
2022-07-09,51,6346
2022-07-10,24,6370
2022-07-11,18,6388
2022-07-12,21,6409
2022-07-13,32,6441
2022-07-14,22,6463
2022-07-15,21,6484
2022-07-16,33,6517
2022-07-17,32,6549
2022-07-18,28,6577
2022-07-19,53,6630
2022-07-20,47,6677
2022-07-21,24,6701
2022-07-22,50,6751
2022-07-23,29,6780
2022-07-24,15,6795
2022-07-25,26,6821
2022-07-26,7,6828
2022-07-27,20,6848
2022-07-28,9,6857
2022-07-29,19,6876
2022-07-30,26,6902
2022-07-31,12,6914
2022-08-01,20,6934
2022-08-02,13,6947
2022-08-03,13,6960
2022-08-04,44,7004
2022-08-05,18,7022
2022-08-06,31,7053
2022-08-07,23,7076
2022-08-08,25,7101
2022-08-09,14,7115
2022-08-10,27,7142
2022-08-11,17,7159
2022-08-12,28,7187
2022-08-13,32,7219
2022-08-14,35,7254
2022-08-15,33,7287
2022-08-16,49,7336
2022-08-17,34,7370
2022-08-18,22,7392
2022-08-19,22,7414
2022-08-20,25,7439
2022-08-21,34,7473
2022-08-22,19,7492
2022-08-23,37,7529
2022-08-24,32,7561
2022-08-25,19,7580
2022-08-26,20,7600
2022-08-27,34,7634
2022-08-28,32,7666
2022-08-29,97,7763
2022-08-30,34,7797
2022-08-31,49,7846
2022-09-01,47,7893
2022-09-02,55,7948
2022-09-03,42,7990
2022-09-04,57,8047
2022-09-05,40,8087
2022-09-06,61,8148
2022-09-07,84,8232
2022-09-08,65,8297
2022-09-09,53,8350
2022-09-10,52,8402
2022-09-11,50,8452
2022-09-12,59,8511
2022-09-13,51,8562
2022-09-14,40,8602
2022-09-15,32,8634
2022-09-16,51,8685
2022-09-17,62,8747
2022-09-18,31,8778
2022-09-19,44,8822
2022-09-20,56,8878
2022-09-21,47,8925
2022-09-22,78,9003
2022-09-23,36,9039
2022-09-24,89,9128
2022-09-25,93,9221
2022-09-26,86,9307
2022-09-27,54,9361
2022-09-28,77,9438
2022-09-29,67,9505
2022-09-30,99,9604
2022-10-01,96,9700
2022-10-02,55,9755
2022-10-03,62,9817
2022-10-04,97,9914
