date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,102,403
2022-02-28,71,474
2022-03-01,40,514
2022-03-02,54,568
2022-03-03,90,658
2022-03-04,71,729
2022-03-05,96,825
2022-03-06,135,960
2022-03-07,89,1049
2022-03-08,92,1141
2022-03-09,64,1205
2022-03-10,51,1256
2022-03-11,66,1322
2022-03-12,102,1424
2022-03-13,70,1494
2022-03-14,79,1573
2022-03-15,58,1631
2022-03-16,55,1686
2022-03-17,29,1715
2022-03-18,45,1760
2022-03-19,35,1795
2022-03-20,38,1833
2022-03-21,55,1888
2022-03-22,32,1920
2022-03-23,51,1971
2022-03-24,67,2038
2022-03-25,73,2111
2022-03-26,50,2161
2022-03-27,32,2193
2022-03-28,47,2240
2022-03-29,61,2301
2022-03-30,59,2360
2022-03-31,44,2404
2022-04-01,55,2459
2022-04-02,31,2490
2022-04-03,15,2505
2022-04-04,20,2525
2022-04-05,32,2557
2022-04-06,22,2579
2022-04-07,14,2593
2022-04-08,13,2606
2022-04-09,26,2632
2022-04-10,26,2658
2022-04-11,21,2679
2022-04-12,24,2703
2022-04-13,56,2759
2022-04-14,35,2794
2022-04-15,25,2819
2022-04-16,29,2848
2022-04-17,24,2872
2022-04-18,38,2910
2022-04-19,38,2948
2022-04-20,30,2978
2022-04-21,56,3034
2022-04-22,69,3103
2022-04-23,45,3148
2022-04-24,31,3179
2022-04-25,65,3244
2022-04-26,26,3270
2022-04-27,45,3315
2022-04-28,42,3357
2022-04-29,22,3379
2022-04-30,40,3419
2022-05-01,33,3452
2022-05-02,39,3491
2022-05-03,46,3537
2022-05-04,32,3569
2022-05-05,46,3615
2022-05-06,65,3680
2022-05-07,43,3723
2022-05-08,50,3773
2022-05-09,32,3805
2022-05-10,38,3843
2022-05-11,41,3884
2022-05-12,31,3915
2022-05-13,26,3941
2022-05-14,31,3972
2022-05-15,31,4003
2022-05-16,27,4030
2022-05-17,38,4068
2022-05-18,21,4089
2022-05-19,76,4165
2022-05-20,51,4216
2022-05-21,48,4264
2022-05-22,45,4309
2022-05-23,58,4367
2022-05-24,40,4407
2022-05-25,30,4437
2022-05-26,47,4484
2022-05-27,37,4521
2022-05-28,41,4562
2022-05-29,47,4609
2022-05-30,30,4639
2022-05-31,30,4669
2022-06-01,42,4711
2022-06-02,24,4735
2022-06-03,36,4771
2022-06-04,26,4797
2022-06-05,45,4842
2022-06-06,26,4868
