date,change,total
2022-02-24,113,113
2022-02-25,105,218
2022-02-26,93,311
2022-02-27,107,418
2022-02-28,75,493
2022-03-01,43,536
2022-03-02,54,590
2022-03-03,96,686
2022-03-04,73,759
2022-03-05,100,859
2022-03-06,141,1000
2022-03-07,99,1099
2022-03-08,94,1193
2022-03-09,66,1259
2022-03-10,52,1311
2022-03-11,70,1381
2022-03-12,103,1484
2022-03-13,72,1556
2022-03-14,81,1637
2022-03-15,62,1699
2022-03-16,62,1761
2022-03-17,34,1795
2022-03-18,47,1842
2022-03-19,34,1876
2022-03-20,42,1918
2022-03-21,56,1974
2022-03-22,34,2008
2022-03-23,55,2063
2022-03-24,70,2133
2022-03-25,78,2211
2022-03-26,56,2267
2022-03-27,36,2303
2022-03-28,50,2353
2022-03-29,62,2415
2022-03-30,68,2483
2022-03-31,44,2527
2022-04-01,65,2592
2022-04-02,31,2623
2022-04-03,15,2638
2022-04-04,21,2659
2022-04-05,36,2695
2022-04-06,26,2721
2022-04-07,17,2738
2022-04-08,17,2755
2022-04-09,28,2783
2022-04-10,29,2812
2022-04-11,26,2838
2022-04-12,27,2865
2022-04-13,57,2922
2022-04-14,44,2966
2022-04-15,26,2992
2022-04-16,30,3022
2022-04-17,24,3046
2022-04-18,43,3089
2022-04-19,41,3130
2022-04-20,34,3164
2022-04-21,57,3221
2022-04-22,73,3294
2022-04-23,50,3344
2022-04-24,33,3377
2022-04-25,66,3443
2022-04-26,28,3471
2022-04-27,47,3518
2022-04-28,43,3561
2022-04-29,23,3584
2022-04-30,44,3628
2022-05-01,35,3663
2022-05-02,43,3706
2022-05-03,46,3752
2022-05-04,31,3783
2022-05-05,47,3830
2022-05-06,73,3903
2022-05-07,47,3950
2022-05-08,50,4000
2022-05-09,34,4034
2022-05-10,43,4077
2022-05-11,43,4120
2022-05-12,35,4155
2022-05-13,29,4184
2022-05-14,34,4218
2022-05-15,33,4251
2022-05-16,29,4280
2022-05-17,38,4318
2022-05-18,24,4342
2022-05-19,79,4421
2022-05-20,52,4473
2022-05-21,48,4521
2022-05-22,45,4566
2022-05-23,62,4628
2022-05-24,41,4669
2022-05-25,35,4704
2022-05-26,46,4750
2022-05-27,37,4787
2022-05-28,49,4836
2022-05-29,50,4886
2022-05-30,33,4919
2022-05-31,32,4951
2022-06-01,47,4998
2022-06-02,27,5025
2022-06-03,37,5062
2022-06-04,28,5090
2022-06-05,47,5137
2022-06-06,32,5169
2022-06-07,33,5202
2022-06-08,29,5231
2022-06-09,42,5273
2022-06-10,22,5295
2022-06-11,25,5320
2022-06-12,25,5345
2022-06-13,27,5372
2022-06-14,39,5411
2022-06-15,15,5426
2022-06-16,29,5455
2022-06-17,40,5495
2022-06-18,21,5516
2022-06-19,31,5547
2022-06-20,38,5585
2022-06-21,47,5632
2022-06-22,35,5667
2022-06-23,32,5699
2022-06-24,43,5742
2022-06-25,34,5776
2022-06-26,56,5832
2022-06-27,48,5880
2022-06-28,27,5907
2022-06-29,35,5942
2022-06-30,44,5986
2022-07-01,15,6001
2022-07-02,42,6043
2022-07-03,44,6087
2022-07-04,48,6135
2022-07-05,32,6167
2022-07-06,33,6200
2022-07-07,47,6247
2022-07-08,52,6299
2022-07-09,51,6350
2022-07-10,24,6374
2022-07-11,18,6392
2022-07-12,22,6414
2022-07-13,33,6447
2022-07-14,22,6469
2022-07-15,21,6490
2022-07-16,34,6524
2022-07-17,32,6556
2022-07-18,28,6584
2022-07-19,53,6637
2022-07-20,48,6685
2022-07-21,24,6709
2022-07-22,50,6759
2022-07-23,29,6788
2022-07-24,15,6803
2022-07-25,26,6829
2022-07-26,7,6836
2022-07-27,20,6856
2022-07-28,10,6866
2022-07-29,19,6885
2022-07-30,26,6911
2022-07-31,12,6923
2022-08-01,20,6943
2022-08-02,13,6956
2022-08-03,13,6969
2022-08-04,44,7013
2022-08-05,18,7031
2022-08-06,31,7062
2022-08-07,23,7085
2022-08-08,25,7110
2022-08-09,14,7124
2022-08-10,27,7151
2022-08-11,17,7168
2022-08-12,28,7196
2022-08-13,32,7228
2022-08-14,35,7263
2022-08-15,32,7295
2022-08-16,50,7345
2022-08-17,34,7379
2022-08-18,23,7402
2022-08-19,22,7424
2022-08-20,25,7449
2022-08-21,34,7483
2022-08-22,19,7502
2022-08-23,37,7539
2022-08-24,32,7571
2022-08-25,19,7590
2022-08-26,20,7610
2022-08-27,34,7644
2022-08-28,32,7676
2022-08-29,99,7775
2022-08-30,35,7810
2022-08-31,50,7860
2022-09-01,47,7907
2022-09-02,54,7961
2022-09-03,42,8003
2022-09-04,57,8060
2022-09-05,40,8100
2022-09-06,61,8161
2022-09-07,84,8245
2022-09-08,65,8310
2022-09-09,54,8364
2022-09-10,54,8418
2022-09-11,50,8468
2022-09-12,59,8527
2022-09-13,51,8578
2022-09-14,40,8618
2022-09-15,32,8650
2022-09-16,51,8701
2022-09-17,62,8763
2022-09-18,31,8794
2022-09-19,44,8838
2022-09-20,56,8894
2022-09-21,46,8940
2022-09-22,78,9018
2022-09-23,36,9054
2022-09-24,92,9146
2022-09-25,93,9239
2022-09-26,86,9325
2022-09-27,55,9380
2022-09-28,77,9457
2022-09-29,67,9524
2022-09-30,99,9623
2022-10-01,96,9719
2022-10-02,55,9774
2022-10-03,63,9837
2022-10-04,98,9935
2022-10-05,115,10050
2022-10-06,72,10122
2022-10-07,75,10197
2022-10-08,62,10259
2022-10-09,62,10321
2022-10-10,56,10377
2022-10-11,50,10427
2022-10-12,93,10520
2022-10-13,59,10579
2022-10-14,83,10662
2022-10-15,96,10758
2022-10-16,40,10798
