date,change,total
2022-02-24,111,111
2022-02-25,102,213
2022-02-26,93,306
2022-02-27,104,410
2022-02-28,75,485
2022-03-01,42,527
2022-03-02,54,581
2022-03-03,91,672
2022-03-04,73,745
2022-03-05,98,843
2022-03-06,136,979
2022-03-07,91,1070
2022-03-08,92,1162
2022-03-09,66,1228
2022-03-10,51,1279
2022-03-11,68,1347
2022-03-12,103,1450
2022-03-13,69,1519
2022-03-14,80,1599
2022-03-15,64,1663
2022-03-16,58,1721
2022-03-17,30,1751
2022-03-18,46,1797
2022-03-19,34,1831
2022-03-20,39,1870
2022-03-21,55,1925
2022-03-22,33,1958
2022-03-23,52,2010
2022-03-24,67,2077
2022-03-25,74,2151
2022-03-26,49,2200
2022-03-27,35,2235
2022-03-28,50,2285
2022-03-29,64,2349
2022-03-30,62,2411
2022-03-31,44,2455
2022-04-01,58,2513
2022-04-02,31,2544
2022-04-03,15,2559
2022-04-04,21,2580
2022-04-05,34,2614
2022-04-06,23,2637
2022-04-07,16,2653
2022-04-08,14,2667
2022-04-09,27,2694
2022-04-10,26,2720
2022-04-11,26,2746
2022-04-12,24,2770
2022-04-13,56,2826
2022-04-14,38,2864
2022-04-15,25,2889
2022-04-16,29,2918
2022-04-17,25,2943
2022-04-18,43,2986
2022-04-19,40,3026
2022-04-20,32,3058
2022-04-21,57,3115
2022-04-22,73,3188
2022-04-23,47,3235
2022-04-24,31,3266
2022-04-25,65,3331
2022-04-26,26,3357
2022-04-27,46,3403
2022-04-28,42,3445
2022-04-29,23,3468
2022-04-30,43,3511
2022-05-01,32,3543
2022-05-02,39,3582
2022-05-03,46,3628
2022-05-04,32,3660
2022-05-05,47,3707
2022-05-06,68,3775
2022-05-07,46,3821
2022-05-08,51,3872
2022-05-09,34,3906
2022-05-10,42,3948
2022-05-11,43,3991
2022-05-12,33,4024
2022-05-13,27,4051
2022-05-14,32,4083
2022-05-15,33,4116
2022-05-16,28,4144
2022-05-17,38,4182
2022-05-18,22,4204
2022-05-19,76,4280
2022-05-20,51,4331
2022-05-21,48,4379
2022-05-22,45,4424
2022-05-23,60,4484
2022-05-24,40,4524
2022-05-25,32,4556
2022-05-26,47,4603
2022-05-27,37,4640
2022-05-28,44,4684
2022-05-29,48,4732
2022-05-30,32,4764
2022-05-31,31,4795
2022-06-01,44,4839
2022-06-02,26,4865
2022-06-03,36,4901
2022-06-04,26,4927
2022-06-05,47,4974
2022-06-06,30,5004
2022-06-07,34,5038
2022-06-08,29,5067
2022-06-09,39,5106
2022-06-10,22,5128
2022-06-11,25,5153
2022-06-12,25,5178
2022-06-13,26,5204
2022-06-14,38,5242
2022-06-15,14,5256
2022-06-16,28,5284
2022-06-17,39,5323
2022-06-18,15,5338
2022-06-19,29,5367
2022-06-20,33,5400
2022-06-21,45,5445
2022-06-22,34,5479
2022-06-23,28,5507
2022-06-24,39,5546
2022-06-25,30,5576
2022-06-26,54,5630
2022-06-27,47,5677
2022-06-28,26,5703
2022-06-29,33,5736
2022-06-30,42,5778
2022-07-01,15,5793
2022-07-02,40,5833
2022-07-03,44,5877
2022-07-04,46,5923
2022-07-05,32,5955
2022-07-06,32,5987
2022-07-07,47,6034
2022-07-08,50,6084
2022-07-09,52,6136
