date,change,total
2022-02-24,113,113
2022-02-25,107,220
2022-02-26,94,314
2022-02-27,107,421
2022-02-28,74,495
2022-03-01,43,538
2022-03-02,54,592
2022-03-03,97,689
2022-03-04,74,763
2022-03-05,100,863
2022-03-06,141,1004
2022-03-07,99,1103
2022-03-08,94,1197
2022-03-09,66,1263
2022-03-10,53,1316
2022-03-11,70,1386
2022-03-12,104,1490
2022-03-13,74,1564
2022-03-14,81,1645
2022-03-15,62,1707
2022-03-16,63,1770
2022-03-17,34,1804
2022-03-18,47,1851
2022-03-19,34,1885
2022-03-20,41,1926
2022-03-21,54,1980
2022-03-22,34,2014
2022-03-23,56,2070
2022-03-24,69,2139
2022-03-25,79,2218
2022-03-26,57,2275
2022-03-27,37,2312
2022-03-28,50,2362
2022-03-29,62,2424
2022-03-30,71,2495
2022-03-31,42,2537
2022-04-01,65,2602
2022-04-02,32,2634
2022-04-03,15,2649
2022-04-04,22,2671
2022-04-05,37,2708
2022-04-06,26,2734
2022-04-07,17,2751
2022-04-08,18,2769
2022-04-09,28,2797
2022-04-10,30,2827
2022-04-11,26,2853
2022-04-12,27,2880
2022-04-13,57,2937
2022-04-14,44,2981
2022-04-15,28,3009
2022-04-16,30,3039
2022-04-17,23,3062
2022-04-18,44,3106
2022-04-19,39,3145
2022-04-20,34,3179
2022-04-21,57,3236
2022-04-22,74,3310
2022-04-23,51,3361
2022-04-24,33,3394
2022-04-25,65,3459
2022-04-26,28,3487
2022-04-27,47,3534
2022-04-28,43,3577
2022-04-29,23,3600
2022-04-30,44,3644
2022-05-01,35,3679
2022-05-02,43,3722
2022-05-03,47,3769
2022-05-04,31,3800
2022-05-05,49,3849
2022-05-06,73,3922
2022-05-07,47,3969
2022-05-08,50,4019
2022-05-09,35,4054
2022-05-10,44,4098
2022-05-11,43,4141
2022-05-12,34,4175
2022-05-13,29,4204
2022-05-14,34,4238
2022-05-15,33,4271
2022-05-16,29,4300
2022-05-17,40,4340
2022-05-18,24,4364
2022-05-19,80,4444
2022-05-20,53,4497
2022-05-21,49,4546
2022-05-22,45,4591
2022-05-23,62,4653
2022-05-24,41,4694
2022-05-25,36,4730
2022-05-26,45,4775
2022-05-27,38,4813
2022-05-28,49,4862
2022-05-29,50,4912
2022-05-30,33,4945
2022-05-31,32,4977
2022-06-01,47,5024
2022-06-02,29,5053
2022-06-03,39,5092
2022-06-04,29,5121
2022-06-05,47,5168
2022-06-06,33,5201
2022-06-07,34,5235
2022-06-08,28,5263
2022-06-09,43,5306
2022-06-10,23,5329
2022-06-11,26,5355
2022-06-12,25,5380
2022-06-13,27,5407
2022-06-14,39,5446
2022-06-15,15,5461
2022-06-16,29,5490
2022-06-17,41,5531
2022-06-18,23,5554
2022-06-19,31,5585
2022-06-20,39,5624
2022-06-21,47,5671
2022-06-22,35,5706
2022-06-23,31,5737
2022-06-24,43,5780
2022-06-25,33,5813
2022-06-26,56,5869
2022-06-27,48,5917
2022-06-28,27,5944
2022-06-29,36,5980
2022-06-30,45,6025
2022-07-01,16,6041
2022-07-02,42,6083
2022-07-03,46,6129
2022-07-04,47,6176
2022-07-05,31,6207
2022-07-06,33,6240
2022-07-07,47,6287
2022-07-08,53,6340
2022-07-09,50,6390
2022-07-10,25,6415
2022-07-11,18,6433
2022-07-12,22,6455
2022-07-13,33,6488
2022-07-14,23,6511
2022-07-15,21,6532
2022-07-16,34,6566
2022-07-17,32,6598
2022-07-18,29,6627
2022-07-19,54,6681
2022-07-20,48,6729
2022-07-21,24,6753
2022-07-22,50,6803
2022-07-23,29,6832
2022-07-24,15,6847
2022-07-25,26,6873
2022-07-26,7,6880
2022-07-27,21,6901
2022-07-28,10,6911
2022-07-29,19,6930
2022-07-30,26,6956
2022-07-31,12,6968
2022-08-01,20,6988
2022-08-02,13,7001
2022-08-03,13,7014
2022-08-04,44,7058
2022-08-05,18,7076
2022-08-06,31,7107
2022-08-07,23,7130
2022-08-08,25,7155
2022-08-09,14,7169
2022-08-10,27,7196
2022-08-11,17,7213
2022-08-12,29,7242
2022-08-13,32,7274
2022-08-14,38,7312
2022-08-15,31,7343
2022-08-16,52,7395
2022-08-17,34,7429
2022-08-18,22,7451
2022-08-19,22,7473
2022-08-20,25,7498
2022-08-21,34,7532
2022-08-22,20,7552
2022-08-23,37,7589
2022-08-24,32,7621
2022-08-25,19,7640
2022-08-26,20,7660
2022-08-27,34,7694
2022-08-28,31,7725
2022-08-29,100,7825
2022-08-30,36,7861
2022-08-31,51,7912
2022-09-01,47,7959
2022-09-02,53,8012
2022-09-03,43,8055
2022-09-04,59,8114
2022-09-05,41,8155
2022-09-06,62,8217
2022-09-07,85,8302
2022-09-08,64,8366
2022-09-09,54,8420
2022-09-10,54,8474
2022-09-11,51,8525
2022-09-12,59,8584
